"2013 Urbanization"	"2013 Urbanization Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
"Large Central Metro"	"1"	"1999"	"1999"	7030	85881105	8.2
"Large Central Metro"	"1"	"2000"	"2000"	6587	86605562	7.6
"Large Central Metro"	"1"	"2001"	"2001"	6696	87669541	7.6
"Large Central Metro"	"1"	"2002"	"2002"	8211	88263944	9.3
"Large Central Metro"	"1"	"2003"	"2003"	8411	88760451	9.5
"Large Central Metro"	"1"	"2004"	"2004"	8807	89243514	9.9
"Large Central Metro"	"1"	"2005"	"2005"	9549	89762433	10.6
"Large Central Metro"	"1"	"2006"	"2006"	10853	90218772	12.0
"Large Central Metro"	"1"	"2007"	"2007"	11058	90936161	12.2
"Large Central Metro"	"1"	"2008"	"2008"	10496	91828270	11.4
"Large Central Metro"	"1"	"2009"	"2009"	10764	92817989	11.6
"Large Central Metro"	"1"	"2010"	"2010"	10782	93505527	11.5
"Large Central Metro"	"1"	"2011"	"2011"	11735	94698280	12.4
"Large Central Metro"	"1"	"2012"	"2012"	12094	95794160	12.6
"Large Central Metro"	"1"	"2013"	"2013"	12953	96739043	13.4
"Large Central Metro"	"1"	"2014"	"2014"	13588	97933810	13.9
"Large Central Metro"	"1"	"2015"	"2015"	15195	98997449	15.3
"Large Fringe Metro"	"2"	"1999"	"1999"	3323	65751853	5.1
"Large Fringe Metro"	"2"	"2000"	"2000"	3635	66611614	5.5
"Large Fringe Metro"	"2"	"2001"	"2001"	4299	68009510	6.3
"Large Fringe Metro"	"2"	"2002"	"2002"	5107	69050312	7.4
"Large Fringe Metro"	"2"	"2003"	"2003"	5600	70032084	8.0
"Large Fringe Metro"	"2"	"2004"	"2004"	5661	71022980	8.0
"Large Fringe Metro"	"2"	"2005"	"2005"	6327	71989227	8.8
"Large Fringe Metro"	"2"	"2006"	"2006"	7598	72929376	10.4
"Large Fringe Metro"	"2"	"2007"	"2007"	7928	73833666	10.7
"Large Fringe Metro"	"2"	"2008"	"2008"	8340	74696904	11.2
"Large Fringe Metro"	"2"	"2009"	"2009"	8374	75443249	11.1
"Large Fringe Metro"	"2"	"2010"	"2010"	8848	76007372	11.6
"Large Fringe Metro"	"2"	"2011"	"2011"	9777	76806991	12.7
"Large Fringe Metro"	"2"	"2012"	"2012"	10025	77488865	12.9
"Large Fringe Metro"	"2"	"2013"	"2013"	10699	78203382	13.7
"Large Fringe Metro"	"2"	"2014"	"2014"	11585	79063551	14.7
"Large Fringe Metro"	"2"	"2015"	"2015"	12948	79867097	16.2
"Medium Metro"	"3"	"1999"	"1999"	3336	56973246	5.9
"Medium Metro"	"3"	"2000"	"2000"	3624	57448175	6.3
"Medium Metro"	"3"	"2001"	"2001"	4042	58236589	6.9
"Medium Metro"	"3"	"2002"	"2002"	5003	58899471	8.5
"Medium Metro"	"3"	"2003"	"2003"	5677	59518143	9.5
"Medium Metro"	"3"	"2004"	"2004"	6150	60262728	10.2
"Medium Metro"	"3"	"2005"	"2005"	6667	61023918	10.9
"Medium Metro"	"3"	"2006"	"2006"	7520	61872916	12.2
"Medium Metro"	"3"	"2007"	"2007"	7891	62622069	12.6
