"Month"	"Month Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
"Jan., 1999"	"1999/01"	"< 1 year"	"1"	"Female"	"F"	2	Not Applicable	Not Applicable
"Jan., 1999"	"1999/01"	"< 1 year"	"1"	"Male"	"M"	1	Not Applicable	Not Applicable
"Jan., 1999"	"1999/01"	"1-4 years"	"1-4"	"Female"	"F"	0	Not Applicable	Not Applicable
"Jan., 1999"	"1999/01"	"1-4 years"	"1-4"	"Male"	"M"	1	Not Applicable	Not Applicable
"Jan., 1999"	"1999/01"	"5-9 years"	"5-9"	"Female"	"F"	1	Not Applicable	Not Applicable
"Jan., 1999"	"1999/01"	"5-9 years"	"5-9"	"Male"	"M"	0	Not Applicable	Not Applicable
"Jan., 1999"	"1999/01"	"10-14 years"	"10-14"	"Female"	"F"	1	Not Applicable	Not Applicable
"Jan., 1999"	"1999/01"	"10-14 years"	"10-14"	"Male"	"M"	2	Not Applicable	Not Applicable
"Jan., 1999"	"1999/01"	"15-19 years"	"15-19"	"Female"	"F"	5	Not Applicable	Not Applicable
"Jan., 1999"	"1999/01"	"15-19 years"	"15-19"	"Male"	"M"	22	Not Applicable	Not Applicable
"Jan., 1999"	"1999/01"	"20-24 years"	"20-24"	"Female"	"F"	12	Not Applicable	Not Applicable
"Jan., 1999"	"1999/01"	"20-24 years"	"20-24"	"Male"	"M"	43	Not Applicable	Not Applicable
"Jan., 1999"	"1999/01"	"25-29 years"	"25-29"	"Female"	"F"	22	Not Applicable	Not Applicable
"Jan., 1999"	"1999/01"	"25-29 years"	"25-29"	"Male"	"M"	66	Not Applicable	Not Applicable
"Jan., 1999"	"1999/01"	"30-34 years"	"30-34"	"Female"	"F"	37	Not Applicable	Not Applicable
"Jan., 1999"	"1999/01"	"30-34 years"	"30-34"	"Male"	"M"	106	Not Applicable	Not Applicable
"Jan., 1999"	"1999/01"	"35-39 years"	"35-39"	"Female"	"F"	74	Not Applicable	Not Applicable
"Jan., 1999"	"1999/01"	"35-39 years"	"35-39"	"Male"	"M"	159	Not Applicable	Not Applicable
"Jan., 1999"	"1999/01"	"40-44 years"	"40-44"	"Female"	"F"	81	Not Applicable	Not Applicable
"Jan., 1999"	"1999/01"	"40-44 years"	"40-44"	"Male"	"M"	199	Not Applicable	Not Applicable
"Jan., 1999"	"1999/01"	"45-49 years"	"45-49"	"Female"	"F"	67	Not Applicable	Not Applicable
"Jan., 1999"	"1999/01"	"45-49 years"	"45-49"	"Male"	"M"	167	Not Applicable	Not Applicable
"Jan., 1999"	"1999/01"	"50-54 years"	"50-54"	"Female"	"F"	43	Not Applicable	Not Applicable
"Jan., 1999"	"1999/01"	"50-54 years"	"50-54"	"Male"	"M"	64	Not Applicable	Not Applicable
"Jan., 1999"	"1999/01"	"55-59 years"	"55-59"	"Female"	"F"	22	Not Applicable	Not Applicable
"Jan., 1999"	"1999/01"	"55-59 years"	"55-59"	"Male"	"M"	36	Not Applicable	Not Applicable
"Jan., 1999"	"1999/01"	"60-64 years "	"60-64"	"Female"	"F"	12	Not Applicable	Not Applicable
"Jan., 1999"	"1999/01"	"60-64 years "	"60-64"	"Male"	"M"	15	Not Applicable	Not Applicable
"Jan., 1999"	"1999/01"	"65-69 years"	"65-69"	"Female"	"F"	9	Not Applicable	Not Applicable
"Jan., 1999"	"1999/01"	"65-69 years"	"65-69"	"Male"	"M"	12	Not Applicable	Not Applicable
"Jan., 1999"	"1999/01"	"70-74 years"	"70-74"	"Female"	"F"	5	Not Applicable	Not Applicable
"Jan., 1999"	"1999/01"	"70-74 years"	"70-74"	"Male"	"M"	5	Not Applicable	Not Applicable
"Jan., 1999"	"1999/01"	"75-79 years"	"75-79"	"Female"	"F"	9	Not Applicable	Not Applicable
"Jan., 1999"	"1999/01"	"75-79 years"	"75-79"	"Male"	"M"	6	Not Applicable	Not Applicable
"Jan., 1999"	"1999/01"	"80-84 years"	"80-84"	"Female"	"F"	10	Not Applicable	Not Applicable
"Jan., 1999"	"1999/01"	"80-84 years"	"80-84"	"Male"	"M"	5	Not Applicable	Not Applicable
"Jan., 1999"	"1999/01"	"85-89 years"	"85-89"	"Female"	"F"	5	Not Applicable	Not Applicable
"Jan., 1999"	"1999/01"	"85-89 years"	"85-89"	"Male"	"M"	4	Not Applicable	Not Applicable
"Jan., 1999"	"1999/01"	"90-94 years"	"90-94"	"Female"	"F"	6	Not Applicable	Not Applicable
"Jan., 1999"	"1999/01"	"90-94 years"	"90-94"	"Male"	"M"	0	Not Applicable	Not Applicable
"Jan., 1999"	"1999/01"	"95-99 years"	"95-99"	"Female"	"F"	0	Not Applicable	Not Applicable
"Jan., 1999"	"1999/01"	"95-99 years"	"95-99"	"Male"	"M"	0	Not Applicable	Not Applicable
"Jan., 1999"	"1999/01"	"100+ years"	"100+"	"Female"	"F"	0	Not Applicable	Not Applicable
"Jan., 1999"	"1999/01"	"100+ years"	"100+"	"Male"	"M"	0	Not Applicable	Not Applicable
"Jan., 1999"	"1999/01"	"Not Stated"	"NS"	"Female"	"F"	2	Not Applicable	Not Applicable
