ICD_Code,Cause_of_Death,Num_Deaths,
X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",2909,
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",15241,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system,24,
X44,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",17256,
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",1036,
X62,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",663,
X63,Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system,41,
X64,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",3544,
X85,"Assault by drugs, medicaments and biological substances",86,
Y11,"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent",265,
Y12,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent",1066,
Y13,"Poisoning by and exposure to other drugs acting on the autonomic nervous system, undetermined intent",2,
Y14,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent",1429,
