"Year"	"Year Code"	"Weekday"	"Weekday Code"	Deaths
"1999"	"1999"	"Sunday"	"1"	2523
"1999"	"1999"	"Monday"	"2"	2181
"1999"	"1999"	"Tuesday"	"3"	2165
"1999"	"1999"	"Wednesday"	"4"	2200
"1999"	"1999"	"Thursday"	"5"	2272
"1999"	"1999"	"Friday"	"6"	2394
"1999"	"1999"	"Saturday"	"7"	2734
"2000"	"2000"	"Sunday"	"1"	2544
"2000"	"2000"	"Monday"	"2"	2294
"2000"	"2000"	"Tuesday"	"3"	2225
"2000"	"2000"	"Wednesday"	"4"	2248
"2000"	"2000"	"Thursday"	"5"	2256
"2000"	"2000"	"Friday"	"6"	2511
"2000"	"2000"	"Saturday"	"7"	2910
"2001"	"2001"	"Sunday"	"1"	2980
"2001"	"2001"	"Monday"	"2"	2567
"2001"	"2001"	"Tuesday"	"3"	2456
"2001"	"2001"	"Wednesday"	"4"	2450
"2001"	"2001"	"Thursday"	"5"	2528
"2001"	"2001"	"Friday"	"6"	2743
"2001"	"2001"	"Saturday"	"7"	3194
"2002"	"2002"	"Sunday"	"1"	3555
"2002"	"2002"	"Monday"	"2"	3071
"2002"	"2002"	"Tuesday"	"3"	3155
"2002"	"2002"	"Wednesday"	"4"	3041
"2002"	"2002"	"Thursday"	"5"	3137
"2002"	"2002"	"Friday"	"6"	3325
"2002"	"2002"	"Saturday"	"7"	3741
"2003"	"2003"	"Sunday"	"1"	3815
"2003"	"2003"	"Monday"	"2"	3372
"2003"	"2003"	"Tuesday"	"3"	3323
"2003"	"2003"	"Wednesday"	"4"	3496
"2003"	"2003"	"Thursday"	"5"	3522
"2003"	"2003"	"Friday"	"6"	3641
"2003"	"2003"	"Saturday"	"7"	4107
"2004"	"2004"	"Sunday"	"1"	4138
"2004"	"2004"	"Monday"	"2"	3586
"2004"	"2004"	"Tuesday"	"3"	3433
"2004"	"2004"	"Wednesday"	"4"	3491
"2004"	"2004"	"Thursday"	"5"	3729
"2004"	"2004"	"Friday"	"6"	4055
"2004"	"2004"	"Saturday"	"7"	4488
"2005"	"2005"	"Sunday"	"1"	4671
"2005"	"2005"	"Monday"	"2"	3847
"2005"	"2005"	"Tuesday"	"3"	3873
"2005"	"2005"	"Wednesday"	"4"	3830
"2005"	"2005"	"Thursday"	"5"	3932
"2005"	"2005"	"Friday"	"6"	4155
"2005"	"2005"	"Saturday"	"7"	4963
"2006"	"2006"	"Sunday"	"1"	5384
"2006"	"2006"	"Monday"	"2"	4480
"2006"	"2006"	"Tuesday"	"3"	4450
"2006"	"2006"	"Wednesday"	"4"	4419
"2006"	"2006"	"Thursday"	"5"	4585
"2006"	"2006"	"Friday"	"6"	4839
"2006"	"2006"	"Saturday"	"7"	5750
"2007"	"2007"	"Sunday"	"1"	5468
"2007"	"2007"	"Monday"	"2"	4920
"2007"	"2007"	"Tuesday"	"3"	4573
"2007"	"2007"	"Wednesday"	"4"	4610
"2007"	"2007"	"Thursday"	"5"	4747
"2007"	"2007"	"Friday"	"6"	5149
"2007"	"2007"	"Saturday"	"7"	5955
"2008"	"2008"	"Sunday"	"1"	5515
"2008"	"2008"	"Monday"	"2"	4692
"2008"	"2008"	"Tuesday"	"3"	4716
"2008"	"2008"	"Wednesday"	"4"	4750
"2008"	"2008"	"Thursday"	"5"	4977
"2008"	"2008"	"Friday"	"6"	5296
"2008"	"2008"	"Saturday"	"7"	5888
"2009"	"2009"	"Sunday"	"1"	5608
"2009"	"2009"	"Monday"	"2"	4800
"2009"	"2009"	"Tuesday"	"3"	4733
"2009"	"2009"	"Wednesday"	"4"	4848
"2009"	"2009"	"Thursday"	"5"	5249
"2009"	"2009"	"Friday"	"6"	5267
"2009"	"2009"	"Saturday"	"7"	6028
"2010"	"2010"	"Sunday"	"1"	5622
"2010"	"2010"	"Monday"	"2"	4988
"2010"	"2010"	"Tuesday"	"3"	5003
"2010"	"2010"	"Wednesday"	"4"	5018
"2010"	"2010"	"Thursday"	"5"	5248
"2010"	"2010"	"Friday"	"6"	5760
"2010"	"2010"	"Saturday"	"7"	6226
"2011"	"2011"	"Sunday"	"1"	6034
"2011"	"2011"	"Monday"	"2"	5356
"2011"	"2011"	"Tuesday"	"3"	5260
"2011"	"2011"	"Wednesday"	"4"	5601
"2011"	"2011"	"Thursday"	"5"	5696
"2011"	"2011"	"Friday"	"6"	6012
"2011"	"2011"	"Saturday"	"7"	6926
"2012"	"2012"	"Sunday"	"1"	6297
"2012"	"2012"	"Monday"	"2"	5522
"2012"	"2012"	"Tuesday"	"3"	5413
"2012"	"2012"	"Wednesday"	"4"	5463
"2012"	"2012"	"Thursday"	"5"	5621
"2012"	"2012"	"Friday"	"6"	6028
"2012"	"2012"	"Saturday"	"7"	6714
"2013"	"2013"	"Sunday"	"1"	6560
"2013"	"2013"	"Monday"	"2"	5843
"2013"	"2013"	"Tuesday"	"3"	5911
"2013"	"2013"	"Wednesday"	"4"	5739
"2013"	"2013"	"Thursday"	"5"	6002
"2013"	"2013"	"Friday"	"6"	6394
"2013"	"2013"	"Saturday"	"7"	7098
"2014"	"2014"	"Sunday"	"1"	7028
"2014"	"2014"	"Monday"	"2"	6236
"2014"	"2014"	"Tuesday"	"3"	6037
"2014"	"2014"	"Wednesday"	"4"	6454
"2014"	"2014"	"Thursday"	"5"	6526
"2014"	"2014"	"Friday"	"6"	6860
"2014"	"2014"	"Saturday"	"7"	7500
"2015"	"2015"	"Sunday"	"1"	7721
"2015"	"2015"	"Monday"	"2"	6964
"2015"	"2015"	"Tuesday"	"3"	6972
"2015"	"2015"	"Wednesday"	"4"	7041
"2015"	"2015"	"Thursday"	"5"	7351
"2015"	"2015"	"Friday"	"6"	7716
"2015"	"2015"	"Saturday"	"7"	8233

