"County"	"County Code"	"Weekday"	"Weekday Code"	Deaths
"Autauga County, AL"	"01001"	"Sunday"	"1"	Suppressed
"Autauga County, AL"	"01001"	"Monday"	"2"	Suppressed
"Autauga County, AL"	"01001"	"Tuesday"	"3"	10
"Autauga County, AL"	"01001"	"Wednesday"	"4"	Suppressed
"Autauga County, AL"	"01001"	"Thursday"	"5"	Suppressed
"Autauga County, AL"	"01001"	"Friday"	"6"	13
"Autauga County, AL"	"01001"	"Saturday"	"7"	14
"Baldwin County, AL"	"01003"	"Sunday"	"1"	55
"Baldwin County, AL"	"01003"	"Monday"	"2"	54
"Baldwin County, AL"	"01003"	"Tuesday"	"3"	57
"Baldwin County, AL"	"01003"	"Wednesday"	"4"	49
"Baldwin County, AL"	"01003"	"Thursday"	"5"	50
"Baldwin County, AL"	"01003"	"Friday"	"6"	69
"Baldwin County, AL"	"01003"	"Saturday"	"7"	60
"Barbour County, AL"	"01005"	"Sunday"	"1"	Suppressed
"Barbour County, AL"	"01005"	"Monday"	"2"	Suppressed
"Barbour County, AL"	"01005"	"Tuesday"	"3"	Suppressed
"Barbour County, AL"	"01005"	"Wednesday"	"4"	Suppressed
"Barbour County, AL"	"01005"	"Thursday"	"5"	Suppressed
"Barbour County, AL"	"01005"	"Friday"	"6"	Suppressed
"Barbour County, AL"	"01005"	"Saturday"	"7"	Suppressed
"Bibb County, AL"	"01007"	"Sunday"	"1"	Suppressed
"Bibb County, AL"	"01007"	"Monday"	"2"	Suppressed
"Bibb County, AL"	"01007"	"Tuesday"	"3"	Suppressed
"Bibb County, AL"	"01007"	"Wednesday"	"4"	Suppressed
"Bibb County, AL"	"01007"	"Thursday"	"5"	Suppressed
"Bibb County, AL"	"01007"	"Friday"	"6"	Suppressed
"Bibb County, AL"	"01007"	"Saturday"	"7"	Suppressed
"Blount County, AL"	"01009"	"Sunday"	"1"	15
"Blount County, AL"	"01009"	"Monday"	"2"	10
"Blount County, AL"	"01009"	"Tuesday"	"3"	17
"Blount County, AL"	"01009"	"Wednesday"	"4"	17
"Blount County, AL"	"01009"	"Thursday"	"5"	22
"Blount County, AL"	"01009"	"Friday"	"6"	15
"Blount County, AL"	"01009"	"Saturday"	"7"	26
"Bullock County, AL"	"01011"	"Sunday"	"1"	Suppressed
"Bullock County, AL"	"01011"	"Monday"	"2"	Suppressed
"Bullock County, AL"	"01011"	"Tuesday"	"3"	Suppressed
"Bullock County, AL"	"01011"	"Wednesday"	"4"	Suppressed
"Bullock County, AL"	"01011"	"Thursday"	"5"	Suppressed
"Bullock County, AL"	"01011"	"Friday"	"6"	Suppressed
"Bullock County, AL"	"01011"	"Saturday"	"7"	Suppressed
"Butler County, AL"	"01013"	"Sunday"	"1"	Suppressed
"Butler County, AL"	"01013"	"Monday"	"2"	Suppressed
"Butler County, AL"	"01013"	"Tuesday"	"3"	Suppressed
"Butler County, AL"	"01013"	"Wednesday"	"4"	Suppressed
"Butler County, AL"	"01013"	"Thursday"	"5"	Suppressed
"Butler County, AL"	"01013"	"Friday"	"6"	Suppressed
"Butler County, AL"	"01013"	"Saturday"	"7"	Suppressed
"Calhoun County, AL"	"01015"	"Sunday"	"1"	37
"Calhoun County, AL"	"01015"	"Monday"	"2"	21
"Calhoun County, AL"	"01015"	"Tuesday"	"3"	23
"Calhoun County, AL"	"01015"	"Wednesday"	"4"	22
"Calhoun County, AL"	"01015"	"Thursday"	"5"	25
"Calhoun County, AL"	"01015"	"Friday"	"6"	22
"Calhoun County, AL"	"01015"	"Saturday"	"7"	31
"Chambers County, AL"	"01017"	"Sunday"	"1"	Suppressed
"Chambers County, AL"	"01017"	"Monday"	"2"	Suppressed
"Chambers County, AL"	"01017"	"Tuesday"	"3"	Suppressed
"Chambers County, AL"	"01017"	"Wednesday"	"4"	Suppressed
"Chambers County, AL"	"01017"	"Thursday"	"5"	11
"Chambers County, AL"	"01017"	"Friday"	"6"	Suppressed
"Chambers County, AL"	"01017"	"Saturday"	"7"	Suppressed
"Cherokee County, AL"	"01019"	"Sunday"	"1"	13
"Cherokee County, AL"	"01019"	"Monday"	"2"	Suppressed
"Cherokee County, AL"	"01019"	"Tuesday"	"3"	11
"Cherokee County, AL"	"01019"	"Wednesday"	"4"	Suppressed
"Cherokee County, AL"	"01019"	"Thursday"	"5"	Suppressed
"Cherokee County, AL"	"01019"	"Friday"	"6"	Suppressed
"Cherokee County, AL"	"01019"	"Saturday"	"7"	Suppressed
"Chilton County, AL"	"01021"	"Sunday"	"1"	22
"Chilton County, AL"	"01021"	"Monday"	"2"	Suppressed
"Chilton County, AL"	"01021"	"Tuesday"	"3"	13
"Chilton County, AL"	"01021"	"Wednesday"	"4"	14
"Chilton County, AL"	"01021"	"Thursday"	"5"	11
"Chilton County, AL"	"01021"	"Friday"	"6"	17
"Chilton County, AL"	"01021"	"Saturday"	"7"	10
