"State"	"State Code"	"Weekday"	"Weekday Code"	Deaths
"Alabama"	"01"	"Sunday"	"1"	1144
"Alabama"	"01"	"Monday"	"2"	901
"Alabama"	"01"	"Tuesday"	"3"	928
"Alabama"	"01"	"Wednesday"	"4"	906
"Alabama"	"01"	"Thursday"	"5"	1015
"Alabama"	"01"	"Friday"	"6"	1169
"Alabama"	"01"	"Saturday"	"7"	1237
"Alaska"	"02"	"Sunday"	"1"	226
"Alaska"	"02"	"Monday"	"2"	205
"Alaska"	"02"	"Tuesday"	"3"	207
"Alaska"	"02"	"Wednesday"	"4"	214
"Alaska"	"02"	"Thursday"	"5"	211
"Alaska"	"02"	"Friday"	"6"	209
"Alaska"	"02"	"Saturday"	"7"	263
"Arizona"	"04"	"Sunday"	"1"	2291
"Arizona"	"04"	"Monday"	"2"	2121
"Arizona"	"04"	"Tuesday"	"3"	2006
"Arizona"	"04"	"Wednesday"	"4"	1958
"Arizona"	"04"	"Thursday"	"5"	2088
"Arizona"	"04"	"Friday"	"6"	2076
"Arizona"	"04"	"Saturday"	"7"	2359
"Arkansas"	"05"	"Sunday"	"1"	757
"Arkansas"	"05"	"Monday"	"2"	571
"Arkansas"	"05"	"Tuesday"	"3"	620
"Arkansas"	"05"	"Wednesday"	"4"	606
"Arkansas"	"05"	"Thursday"	"5"	635
"Arkansas"	"05"	"Friday"	"6"	710
"Arkansas"	"05"	"Saturday"	"7"	701
"California"	"06"	"Sunday"	"1"	8657
"California"	"06"	"Monday"	"2"	8349
"California"	"06"	"Tuesday"	"3"	8132
"California"	"06"	"Wednesday"	"4"	8103
"California"	"06"	"Thursday"	"5"	8065
"California"	"06"	"Friday"	"6"	8462
"California"	"06"	"Saturday"	"7"	8821
"Colorado"	"08"	"Sunday"	"1"	1707
"Colorado"	"08"	"Monday"	"2"	1532
"Colorado"	"08"	"Tuesday"	"3"	1460
"Colorado"	"08"	"Wednesday"	"4"	1438
"Colorado"	"08"	"Thursday"	"5"	1481
"Colorado"	"08"	"Friday"	"6"	1469
"Colorado"	"08"	"Saturday"	"7"	1711
"Connecticut"	"09"	"Sunday"	"1"	1004
"Connecticut"	"09"	"Monday"	"2"	961
"Connecticut"	"09"	"Tuesday"	"3"	900
"Connecticut"	"09"	"Wednesday"	"4"	914
"Connecticut"	"09"	"Thursday"	"5"	945
"Connecticut"	"09"	"Friday"	"6"	1037
"Connecticut"	"09"	"Saturday"	"7"	1193
"Delaware"	"10"	"Sunday"	"1"	285
"Delaware"	"10"	"Monday"	"2"	218
"Delaware"	"10"	"Tuesday"	"3"	248
"Delaware"	"10"	"Wednesday"	"4"	238
"Delaware"	"10"	"Thursday"	"5"	270
"Delaware"	"10"	"Friday"	"6"	295
"Delaware"	"10"	"Saturday"	"7"	319
"District of Columbia"	"11"	"Sunday"	"1"	174
"District of Columbia"	"11"	"Monday"	"2"	175
"District of Columbia"	"11"	"Tuesday"	"3"	185
"District of Columbia"	"11"	"Wednesday"	"4"	168
"District of Columbia"	"11"	"Thursday"	"5"	195
"District of Columbia"	"11"	"Friday"	"6"	209
"District of Columbia"	"11"	"Saturday"	"7"	218
"Florida"	"12"	"Sunday"	"1"	6165
"Florida"	"12"	"Monday"	"2"	5450
"Florida"	"12"	"Tuesday"	"3"	5231
"Florida"	"12"	"Wednesday"	"4"	5357
"Florida"	"12"	"Thursday"	"5"	5512
"Florida"	"12"	"Friday"	"6"	5938
"Florida"	"12"	"Saturday"	"7"	6665
"Georgia"	"13"	"Sunday"	"1"	2184
"Georgia"	"13"	"Monday"	"2"	1871
"Georgia"	"13"	"Tuesday"	"3"	1861
"Georgia"	"13"	"Wednesday"	"4"	1842
"Georgia"	"13"	"Thursday"	"5"	1883
"Georgia"	"13"	"Friday"	"6"	1986
"Georgia"	"13"	"Saturday"	"7"	2368
