"State"	"State Code"	"Year"	"Year Code"	"Weekday"	"Weekday Code"	Deaths
"Alabama"	"01"	"1999"	"1999"	"Sunday"	"1"	30
"Alabama"	"01"	"1999"	"1999"	"Monday"	"2"	22
"Alabama"	"01"	"1999"	"1999"	"Tuesday"	"3"	25
"Alabama"	"01"	"1999"	"1999"	"Wednesday"	"4"	16
"Alabama"	"01"	"1999"	"1999"	"Thursday"	"5"	24
"Alabama"	"01"	"1999"	"1999"	"Friday"	"6"	21
"Alabama"	"01"	"1999"	"1999"	"Saturday"	"7"	26
"Alabama"	"01"	"2000"	"2000"	"Sunday"	"1"	28
"Alabama"	"01"	"2000"	"2000"	"Monday"	"2"	21
"Alabama"	"01"	"2000"	"2000"	"Tuesday"	"3"	31
"Alabama"	"01"	"2000"	"2000"	"Wednesday"	"4"	23
"Alabama"	"01"	"2000"	"2000"	"Thursday"	"5"	17
"Alabama"	"01"	"2000"	"2000"	"Friday"	"6"	35
"Alabama"	"01"	"2000"	"2000"	"Saturday"	"7"	35
"Alabama"	"01"	"2001"	"2001"	"Sunday"	"1"	23
"Alabama"	"01"	"2001"	"2001"	"Monday"	"2"	30
"Alabama"	"01"	"2001"	"2001"	"Tuesday"	"3"	32
"Alabama"	"01"	"2001"	"2001"	"Wednesday"	"4"	40
"Alabama"	"01"	"2001"	"2001"	"Thursday"	"5"	29
"Alabama"	"01"	"2001"	"2001"	"Friday"	"6"	29
"Alabama"	"01"	"2001"	"2001"	"Saturday"	"7"	25
"Alabama"	"01"	"2002"	"2002"	"Sunday"	"1"	35
"Alabama"	"01"	"2002"	"2002"	"Monday"	"2"	18
"Alabama"	"01"	"2002"	"2002"	"Tuesday"	"3"	24
"Alabama"	"01"	"2002"	"2002"	"Wednesday"	"4"	30
"Alabama"	"01"	"2002"	"2002"	"Thursday"	"5"	30
"Alabama"	"01"	"2002"	"2002"	"Friday"	"6"	41
"Alabama"	"01"	"2002"	"2002"	"Saturday"	"7"	27
"Alabama"	"01"	"2003"	"2003"	"Sunday"	"1"	31
"Alabama"	"01"	"2003"	"2003"	"Monday"	"2"	23
"Alabama"	"01"	"2003"	"2003"	"Tuesday"	"3"	27
"Alabama"	"01"	"2003"	"2003"	"Wednesday"	"4"	33
"Alabama"	"01"	"2003"	"2003"	"Thursday"	"5"	29
"Alabama"	"01"	"2003"	"2003"	"Friday"	"6"	16
"Alabama"	"01"	"2003"	"2003"	"Saturday"	"7"	28
"Alabama"	"01"	"2004"	"2004"	"Sunday"	"1"	42
"Alabama"	"01"	"2004"	"2004"	"Monday"	"2"	45
"Alabama"	"01"	"2004"	"2004"	"Tuesday"	"3"	31
"Alabama"	"01"	"2004"	"2004"	"Wednesday"	"4"	24
"Alabama"	"01"	"2004"	"2004"	"Thursday"	"5"	39
"Alabama"	"01"	"2004"	"2004"	"Friday"	"6"	50
"Alabama"	"01"	"2004"	"2004"	"Saturday"	"7"	46
"Alabama"	"01"	"2005"	"2005"	"Sunday"	"1"	45
"Alabama"	"01"	"2005"	"2005"	"Monday"	"2"	37
"Alabama"	"01"	"2005"	"2005"	"Tuesday"	"3"	40
"Alabama"	"01"	"2005"	"2005"	"Wednesday"	"4"	26
"Alabama"	"01"	"2005"	"2005"	"Thursday"	"5"	38
"Alabama"	"01"	"2005"	"2005"	"Friday"	"6"	42
"Alabama"	"01"	"2005"	"2005"	"Saturday"	"7"	49
"Alabama"	"01"	"2006"	"2006"	"Sunday"	"1"	64
"Alabama"	"01"	"2006"	"2006"	"Monday"	"2"	47
"Alabama"	"01"	"2006"	"2006"	"Tuesday"	"3"	54
"Alabama"	"01"	"2006"	"2006"	"Wednesday"	"4"	40
"Alabama"	"01"	"2006"	"2006"	"Thursday"	"5"	44
"Alabama"	"01"	"2006"	"2006"	"Friday"	"6"	66
"Alabama"	"01"	"2006"	"2006"	"Saturday"	"7"	75
"Alabama"	"01"	"2007"	"2007"	"Sunday"	"1"	88
"Alabama"	"01"	"2007"	"2007"	"Monday"	"2"	62
"Alabama"	"01"	"2007"	"2007"	"Tuesday"	"3"	62
"Alabama"	"01"	"2007"	"2007"	"Wednesday"	"4"	46
"Alabama"	"01"	"2007"	"2007"	"Thursday"	"5"	60
"Alabama"	"01"	"2007"	"2007"	"Friday"	"6"	80
"Alabama"	"01"	"2007"	"2007"	"Saturday"	"7"	97
"Alabama"	"01"	"2008"	"2008"	"Sunday"	"1"	73
"Alabama"	"01"	"2008"	"2008"	"Monday"	"2"	67
"Alabama"	"01"	"2008"	"2008"	"Tuesday"	"3"	72
"Alabama"	"01"	"2008"	"2008"	"Wednesday"	"4"	75
"Alabama"	"01"	"2008"	"2008"	"Thursday"	"5"	102
"Alabama"	"01"	"2008"	"2008"	"Friday"	"6"	97
"Alabama"	"01"	"2008"	"2008"	"Saturday"	"7"	110
"Alabama"	"01"	"2009"	"2009"	"Sunday"	"1"	109
"Alabama"	"01"	"2009"	"2009"	"Monday"	"2"	75
"Alabama"	"01"	"2009"	"2009"	"Tuesday"	"3"	77
"Alabama"	"01"	"2009"	"2009"	"Wednesday"	"4"	76
"Alabama"	"01"	"2009"	"2009"	"Thursday"	"5"	84
"Alabama"	"01"	"2009"	"2009"	"Friday"	"6"	100
"Alabama"	"01"	"2009"	"2009"	"Saturday"	"7"	102
"Alabama"	"01"	"2010"	"2010"	"Sunday"	"1"	81
"Alabama"	"01"	"2010"	"2010"	"Monday"	"2"	54
"Alabama"	"01"	"2010"	"2010"	"Tuesday"	"3"	79
"Alabama"	"01"	"2010"	"2010"	"Wednesday"	"4"	55
"Alabama"	"01"	"2010"	"2010"	"Thursday"	"5"	82
"Alabama"	"01"	"2010"	"2010"	"Friday"	"6"	101
"Alabama"	"01"	"2010"	"2010"	"Saturday"	"7"	89
"Alabama"	"01"	"2011"	"2011"	"Sunday"	"1"	82
"Alabama"	"01"	"2011"	"2011"	"Monday"	"2"	77
"Alabama"	"01"	"2011"	"2011"	"Tuesday"	"3"	42
"Alabama"	"01"	"2011"	"2011"	"Wednesday"	"4"	61
"Alabama"	"01"	"2011"	"2011"	"Thursday"	"5"	90
"Alabama"	"01"	"2011"	"2011"	"Friday"	"6"	91
"Alabama"	"01"	"2011"	"2011"	"Saturday"	"7"	104
"Alabama"	"01"	"2012"	"2012"	"Sunday"	"1"	84
"Alabama"	"01"	"2012"	"2012"	"Monday"	"2"	76
"Alabama"	"01"	"2012"	"2012"	"Tuesday"	"3"	72
"Alabama"	"01"	"2012"	"2012"	"Wednesday"	"4"	77
"Alabama"	"01"	"2012"	"2012"	"Thursday"	"5"	70
"Alabama"	"01"	"2012"	"2012"	"Friday"	"6"	98
"Alabama"	"01"	"2012"	"2012"	"Saturday"	"7"	84
"Alabama"	"01"	"2013"	"2013"	"Sunday"	"1"	103
"Alabama"	"01"	"2013"	"2013"	"Monday"	"2"	77
"Alabama"	"01"	"2013"	"2013"	"Tuesday"	"3"	75
"Alabama"	"01"	"2013"	"2013"	"Wednesday"	"4"	83
"Alabama"	"01"	"2013"	"2013"	"Thursday"	"5"	72
"Alabama"	"01"	"2013"	"2013"	"Friday"	"6"	85
"Alabama"	"01"	"2013"	"2013"	"Saturday"	"7"	94
"Alabama"	"01"	"2014"	"2014"	"Sunday"	"1"	101
"Alabama"	"01"	"2014"	"2014"	"Monday"	"2"	83
"Alabama"	"01"	"2014"	"2014"	"Tuesday"	"3"	85
"Alabama"	"01"	"2014"	"2014"	"Wednesday"	"4"	103
"Alabama"	"01"	"2014"	"2014"	"Thursday"	"5"	112
"Alabama"	"01"	"2014"	"2014"	"Friday"	"6"	104
"Alabama"	"01"	"2014"	"2014"	"Saturday"	"7"	127
"Alabama"	"01"	"2015"	"2015"	"Sunday"	"1"	125
"Alabama"	"01"	"2015"	"2015"	"Monday"	"2"	87
"Alabama"	"01"	"2015"	"2015"	"Tuesday"	"3"	100
"Alabama"	"01"	"2015"	"2015"	"Wednesday"	"4"	98
"Alabama"	"01"	"2015"	"2015"	"Thursday"	"5"	93
"Alabama"	"01"	"2015"	"2015"	"Friday"	"6"	113
"Alabama"	"01"	"2015"	"2015"	"Saturday"	"7"	119
"Alaska"	"02"	"1999"	"1999"	"Sunday"	"1"	Suppressed
"Alaska"	"02"	"1999"	"1999"	"Monday"	"2"	Suppressed
"Alaska"	"02"	"1999"	"1999"	"Tuesday"	"3"	12
"Alaska"	"02"	"1999"	"1999"	"Wednesday"	"4"	Suppressed
"Alaska"	"02"	"1999"	"1999"	"Thursday"	"5"	Suppressed
"Alaska"	"02"	"1999"	"1999"	"Friday"	"6"	Suppressed
"Alaska"	"02"	"1999"	"1999"	"Saturday"	"7"	Suppressed
"Alaska"	"02"	"2000"	"2000"	"Sunday"	"1"	Suppressed
"Alaska"	"02"	"2000"	"2000"	"Monday"	"2"	Suppressed
"Alaska"	"02"	"2000"	"2000"	"Tuesday"	"3"	Suppressed
"Alaska"	"02"	"2000"	"2000"	"Wednesday"	"4"	Suppressed
"Alaska"	"02"	"2000"	"2000"	"Thursday"	"5"	Suppressed
"Alaska"	"02"	"2000"	"2000"	"Friday"	"6"	Suppressed
"Alaska"	"02"	"2000"	"2000"	"Saturday"	"7"	Suppressed
"Alaska"	"02"	"2001"	"2001"	"Sunday"	"1"	11
"Alaska"	"02"	"2001"	"2001"	"Monday"	"2"	Suppressed
"Alaska"	"02"	"2001"	"2001"	"Tuesday"	"3"	Suppressed
"Alaska"	"02"	"2001"	"2001"	"Wednesday"	"4"	10
"Alaska"	"02"	"2001"	"2001"	"Thursday"	"5"	Suppressed
"Alaska"	"02"	"2001"	"2001"	"Friday"	"6"	10
"Alaska"	"02"	"2001"	"2001"	"Saturday"	"7"	Suppressed
"Alaska"	"02"	"2002"	"2002"	"Sunday"	"1"	Suppressed
"Alaska"	"02"	"2002"	"2002"	"Monday"	"2"	13
"Alaska"	"02"	"2002"	"2002"	"Tuesday"	"3"	Suppressed
"Alaska"	"02"	"2002"	"2002"	"Wednesday"	"4"	17
"Alaska"	"02"	"2002"	"2002"	"Thursday"	"5"	11
"Alaska"	"02"	"2002"	"2002"	"Friday"	"6"	Suppressed
"Alaska"	"02"	"2002"	"2002"	"Saturday"	"7"	14
"Alaska"	"02"	"2003"	"2003"	"Sunday"	"1"	12
"Alaska"	"02"	"2003"	"2003"	"Monday"	"2"	10
"Alaska"	"02"	"2003"	"2003"	"Tuesday"	"3"	13
"Alaska"	"02"	"2003"	"2003"	"Wednesday"	"4"	14
"Alaska"	"02"	"2003"	"2003"	"Thursday"	"5"	Suppressed
"Alaska"	"02"	"2003"	"2003"	"Friday"	"6"	Suppressed
"Alaska"	"02"	"2003"	"2003"	"Saturday"	"7"	16
"Alaska"	"02"	"2004"	"2004"	"Sunday"	"1"	11
"Alaska"	"02"	"2004"	"2004"	"Monday"	"2"	16
"Alaska"	"02"	"2004"	"2004"	"Tuesday"	"3"	Suppressed
"Alaska"	"02"	"2004"	"2004"	"Wednesday"	"4"	10
"Alaska"	"02"	"2004"	"2004"	"Thursday"	"5"	15
"Alaska"	"02"	"2004"	"2004"	"Friday"	"6"	Suppressed
"Alaska"	"02"	"2004"	"2004"	"Saturday"	"7"	17
"Alaska"	"02"	"2005"	"2005"	"Sunday"	"1"	12
"Alaska"	"02"	"2005"	"2005"	"Monday"	"2"	12
"Alaska"	"02"	"2005"	"2005"	"Tuesday"	"3"	Suppressed
"Alaska"	"02"	"2005"	"2005"	"Wednesday"	"4"	10
