"Year"	"Year Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
"1999"	"1999"	"Female"	"F"	5373	142237295	3.8
"1999"	"1999"	"Male"	"M"	11097	136802873	8.1
"2000"	"2000"	"Female"	"F"	5618	143368343	3.9
"2000"	"2000"	"Male"	"M"	11371	138053563	8.2
"2001"	"2001"	"Female"	"F"	6443	145077463	4.4
"2001"	"2001"	"Male"	"M"	12475	139891492	8.9
"2002"	"2002"	"Female"	"F"	8181	146394634	5.6
"2002"	"2002"	"Male"	"M"	14845	141230559	10.5
"2003"	"2003"	"Female"	"F"	9096	147679036	6.2
"2003"	"2003"	"Male"	"M"	16182	142428897	11.4
"2004"	"2004"	"Female"	"F"	10001	148977286	6.7
"2004"	"2004"	"Male"	"M"	16921	143828012	11.8
"2005"	"2005"	"Female"	"F"	10775	150319521	7.2
"2005"	"2005"	"Male"	"M"	18498	145197078	12.7
"2006"	"2006"	"Female"	"F"	12216	151732647	8.1
"2006"	"2006"	"Male"	"M"	21694	146647265	14.8
"2007"	"2007"	"Female"	"F"	13365	153166353	8.7
"2007"	"2007"	"Male"	"M"	22057	148064854	14.9
"2008"	"2008"	"Female"	"F"	13627	154604015	8.8
"2008"	"2008"	"Male"	"M"	22210	149489951	14.9
"2009"	"2009"	"Female"	"F"	14144	155964075	9.1
"2009"	"2009"	"Male"	"M"	22395	150807454	14.9
"2010"	"2010"	"Female"	"F"	15052	156964212	9.6
"2010"	"2010"	"Male"	"M"	22820	151781326	15.0
"2011"	"2011"	"Female"	"F"	16074	158301098	10.2
"2011"	"2011"	"Male"	"M"	24846	153290819	16.2
"2012"	"2012"	"Female"	"F"	16125	159421973	10.1
"2012"	"2012"	"Male"	"M"	24960	154492067	16.2
"2013"	"2013"	"Female"	"F"	16942	160477237	10.6
"2013"	"2013"	"Male"	"M"	26620	155651602	17.1
"2014"	"2014"	"Female"	"F"	18007	161920569	11.1
"2014"	"2014"	"Male"	"M"	28651	156936487	18.3
"2015"	"2015"	"Female"	"F"	19216	163189523	11.8
"2015"	"2015"	"Male"	"M"	32799	158229297	20.7
