"State"	"State Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
"Alabama"	"01"	"Female"	"F"	"1999"	"1999"	75	2293259	3.3
"Alabama"	"01"	"Female"	"F"	"2000"	"2000"	87	2300596	3.8
"Alabama"	"01"	"Female"	"F"	"2001"	"2001"	90	2309496	3.9
"Alabama"	"01"	"Female"	"F"	"2002"	"2002"	90	2314370	3.9
"Alabama"	"01"	"Female"	"F"	"2003"	"2003"	72	2324069	3.1
"Alabama"	"01"	"Female"	"F"	"2004"	"2004"	110	2337857	4.7
"Alabama"	"01"	"Female"	"F"	"2005"	"2005"	95	2356423	4.0
"Alabama"	"01"	"Female"	"F"	"2006"	"2006"	156	2385480	6.5
"Alabama"	"01"	"Female"	"F"	"2007"	"2007"	205	2407275	8.5
"Alabama"	"01"	"Female"	"F"	"2008"	"2008"	274	2430257	11.3
"Alabama"	"01"	"Female"	"F"	"2009"	"2009"	284	2448159	11.6
"Alabama"	"01"	"Female"	"F"	"2010"	"2010"	237	2459548	9.6
"Alabama"	"01"	"Female"	"F"	"2011"	"2011"	240	2473249	9.7
"Alabama"	"01"	"Female"	"F"	"2012"	"2012"	226	2483466	9.1
"Alabama"	"01"	"Female"	"F"	"2013"	"2013"	256	2488375	10.3
"Alabama"	"01"	"Female"	"F"	"2014"	"2014"	323	2499410	12.9
"Alabama"	"01"	"Female"	"F"	"2015"	"2015"	307	2505795	12.3
"Alabama"	"01"	"Male"	"M"	"1999"	"1999"	89	2136882	4.2
"Alabama"	"01"	"Male"	"M"	"2000"	"2000"	103	2146504	4.8
"Alabama"	"01"	"Male"	"M"	"2001"	"2001"	118	2158138	5.5
"Alabama"	"01"	"Male"	"M"	"2002"	"2002"	115	2165719	5.3
"Alabama"	"01"	"Male"	"M"	"2003"	"2003"	115	2179422	5.3
"Alabama"	"01"	"Male"	"M"	"2004"	"2004"	167	2192872	7.6
"Alabama"	"01"	"Male"	"M"	"2005"	"2005"	182	2213382	8.2
"Alabama"	"01"	"Male"	"M"	"2006"	"2006"	234	2243501	10.4
"Alabama"	"01"	"Male"	"M"	"2007"	"2007"	290	2265565	12.8
"Alabama"	"01"	"Male"	"M"	"2008"	"2008"	322	2287949	14.1
"Alabama"	"01"	"Male"	"M"	"2009"	"2009"	339	2309779	14.7
"Alabama"	"01"	"Male"	"M"	"2010"	"2010"	304	2320188	13.1
"Alabama"	"01"	"Male"	"M"	"2011"	"2011"	307	2329491	13.2
"Alabama"	"01"	"Male"	"M"	"2012"	"2012"	335	2338557	14.3
"Alabama"	"01"	"Male"	"M"	"2013"	"2013"	333	2345347	14.2
