"Year"	"Year Code"	"Place of Death"	"Place of Death Code"	Deaths	Population	Crude Rate
"1999"	"1999"	"Medical Facility - Inpatient"	"1"	1935	Not Applicable	Not Applicable
"1999"	"1999"	"Medical Facility - Outpatient or ER"	"2"	2673	Not Applicable	Not Applicable
"1999"	"1999"	"Medical Facility - Dead on Arrival"	"3"	892	Not Applicable	Not Applicable
"1999"	"1999"	"Medical Facility - Status unknown"	"10"	57	Not Applicable	Not Applicable
"1999"	"1999"	"Decedent's home"	"4"	7511	Not Applicable	Not Applicable
"1999"	"1999"	"Hospice facility"	"5"	Missing	Missing	Missing
"1999"	"1999"	"Nursing home/long term care"	"6"	97	Not Applicable	Not Applicable
"1999"	"1999"	"Other"	"7"	3295	Not Applicable	Not Applicable
"1999"	"1999"	"Place of death unknown"	"9"	10	Not Applicable	Not Applicable
"2000"	"2000"	"Medical Facility - Inpatient"	"1"	1917	Not Applicable	Not Applicable
"2000"	"2000"	"Medical Facility - Outpatient or ER"	"2"	2756	Not Applicable	Not Applicable
"2000"	"2000"	"Medical Facility - Dead on Arrival"	"3"	1004	Not Applicable	Not Applicable
"2000"	"2000"	"Medical Facility - Status unknown"	"10"	52	Not Applicable	Not Applicable
"2000"	"2000"	"Decedent's home"	"4"	7834	Not Applicable	Not Applicable
"2000"	"2000"	"Hospice facility"	"5"	Missing	Missing	Missing
"2000"	"2000"	"Nursing home/long term care"	"6"	85	Not Applicable	Not Applicable
"2000"	"2000"	"Other"	"7"	3328	Not Applicable	Not Applicable
"2000"	"2000"	"Place of death unknown"	"9"	13	Not Applicable	Not Applicable
"2001"	"2001"	"Medical Facility - Inpatient"	"1"	2058	Not Applicable	Not Applicable
"2001"	"2001"	"Medical Facility - Outpatient or ER"	"2"	3071	Not Applicable	Not Applicable
"2001"	"2001"	"Medical Facility - Dead on Arrival"	"3"	1032	Not Applicable	Not Applicable
"2001"	"2001"	"Medical Facility - Status unknown"	"10"	76	Not Applicable	Not Applicable
"2001"	"2001"	"Decedent's home"	"4"	8967	Not Applicable	Not Applicable
"2001"	"2001"	"Hospice facility"	"5"	Missing	Missing	Missing
"2001"	"2001"	"Nursing home/long term care"	"6"	88	Not Applicable	Not Applicable
"2001"	"2001"	"Other"	"7"	3618	Not Applicable	Not Applicable
"2001"	"2001"	"Place of death unknown"	"9"	8	Not Applicable	Not Applicable
"2002"	"2002"	"Medical Facility - Inpatient"	"1"	2339	Not Applicable	Not Applicable
"2002"	"2002"	"Medical Facility - Outpatient or ER"	"2"	3843	Not Applicable	Not Applicable
"2002"	"2002"	"Medical Facility - Dead on Arrival"	"3"	1062	Not Applicable	Not Applicable
"2002"	"2002"	"Medical Facility - Status unknown"	"10"	67	Not Applicable	Not Applicable
"2002"	"2002"	"Decedent's home"	"4"	11143	Not Applicable	Not Applicable
"2002"	"2002"	"Hospice facility"	"5"	Missing	Missing	Missing
"2002"	"2002"	"Nursing home/long term care"	"6"	92	Not Applicable	Not Applicable
"2002"	"2002"	"Other"	"7"	4465	Not Applicable	Not Applicable
"2002"	"2002"	"Place of death unknown"	"9"	15	Not Applicable	Not Applicable
"2003"	"2003"	"Medical Facility - Inpatient"	"1"	2513	Not Applicable	Not Applicable
"2003"	"2003"	"Medical Facility - Outpatient or ER"	"2"	4186	Not Applicable	Not Applicable
"2003"	"2003"	"Medical Facility - Dead on Arrival"	"3"	1088	Not Applicable	Not Applicable
"2003"	"2003"	"Medical Facility - Status unknown"	"10"	Missing	Missing	Missing
"2003"	"2003"	"Decedent's home"	"4"	12676	Not Applicable	Not Applicable
"2003"	"2003"	"Hospice facility"	"5"	0	Not Applicable	Not Applicable
"2003"	"2003"	"Nursing home/long term care"	"6"	99	Not Applicable	Not Applicable
"2003"	"2003"	"Other"	"7"	4650	Not Applicable	Not Applicable
"2003"	"2003"	"Place of death unknown"	"9"	66	Not Applicable	Not Applicable
"2004"	"2004"	"Medical Facility - Inpatient"	"1"	2623	Not Applicable	Not Applicable
"2004"	"2004"	"Medical Facility - Outpatient or ER"	"2"	4235	Not Applicable	Not Applicable
"2004"	"2004"	"Medical Facility - Dead on Arrival"	"3"	1177	Not Applicable	Not Applicable
"2004"	"2004"	"Medical Facility - Status unknown"	"10"	Missing	Missing	Missing
"2004"	"2004"	"Decedent's home"	"4"	13867	Not Applicable	Not Applicable
"2004"	"2004"	"Hospice facility"	"5"	8	Not Applicable	Not Applicable
"2004"	"2004"	"Nursing home/long term care"	"6"	125	Not Applicable	Not Applicable
"2004"	"2004"	"Other"	"7"	4823	Not Applicable	Not Applicable
"2004"	"2004"	"Place of death unknown"	"9"	64	Not Applicable	Not Applicable
"2005"	"2005"	"Medical Facility - Inpatient"	"1"	2637	Not Applicable	Not Applicable
"2005"	"2005"	"Medical Facility - Outpatient or ER"	"2"	4794	Not Applicable	Not Applicable
"2005"	"2005"	"Medical Facility - Dead on Arrival"	"3"	1146	Not Applicable	Not Applicable
"2005"	"2005"	"Medical Facility - Status unknown"	"10"	Missing	Missing	Missing
"2005"	"2005"	"Decedent's home"	"4"	15063	Not Applicable	Not Applicable
