"County"	"County Code"	"Place of Death"	"Place of Death Code"	Deaths	Population	Crude Rate
"Autauga County, AL"	"01001"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"Autauga County, AL"	"01001"	"Medical Facility - Outpatient or ER"	"2"	Suppressed	Not Applicable	Not Applicable
"Autauga County, AL"	"01001"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Autauga County, AL"	"01001"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Autauga County, AL"	"01001"	"Decedent's home"	"4"	26	Not Applicable	Not Applicable
"Autauga County, AL"	"01001"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Autauga County, AL"	"01001"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Autauga County, AL"	"01001"	"Other"	"7"	18	Not Applicable	Not Applicable
"Autauga County, AL"	"01001"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Baldwin County, AL"	"01003"	"Medical Facility - Inpatient"	"1"	33	Not Applicable	Not Applicable
"Baldwin County, AL"	"01003"	"Medical Facility - Outpatient or ER"	"2"	44	Not Applicable	Not Applicable
"Baldwin County, AL"	"01003"	"Medical Facility - Dead on Arrival"	"3"	12	Not Applicable	Not Applicable
"Baldwin County, AL"	"01003"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Baldwin County, AL"	"01003"	"Decedent's home"	"4"	215	Not Applicable	Not Applicable
"Baldwin County, AL"	"01003"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Baldwin County, AL"	"01003"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Baldwin County, AL"	"01003"	"Other"	"7"	87	Not Applicable	Not Applicable
"Baldwin County, AL"	"01003"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Barbour County, AL"	"01005"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"Barbour County, AL"	"01005"	"Medical Facility - Outpatient or ER"	"2"	Suppressed	Not Applicable	Not Applicable
"Barbour County, AL"	"01005"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Barbour County, AL"	"01005"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Barbour County, AL"	"01005"	"Decedent's home"	"4"	Suppressed	Not Applicable	Not Applicable
"Barbour County, AL"	"01005"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Barbour County, AL"	"01005"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Barbour County, AL"	"01005"	"Other"	"7"	Suppressed	Not Applicable	Not Applicable
"Barbour County, AL"	"01005"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Bibb County, AL"	"01007"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"Bibb County, AL"	"01007"	"Medical Facility - Outpatient or ER"	"2"	Suppressed	Not Applicable	Not Applicable
"Bibb County, AL"	"01007"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Bibb County, AL"	"01007"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Bibb County, AL"	"01007"	"Decedent's home"	"4"	20	Not Applicable	Not Applicable
"Bibb County, AL"	"01007"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Bibb County, AL"	"01007"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Bibb County, AL"	"01007"	"Other"	"7"	14	Not Applicable	Not Applicable
"Bibb County, AL"	"01007"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Blount County, AL"	"01009"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"Blount County, AL"	"01009"	"Medical Facility - Outpatient or ER"	"2"	19	Not Applicable	Not Applicable
"Blount County, AL"	"01009"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Blount County, AL"	"01009"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Blount County, AL"	"01009"	"Decedent's home"	"4"	69	Not Applicable	Not Applicable
"Blount County, AL"	"01009"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Blount County, AL"	"01009"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Blount County, AL"	"01009"	"Other"	"7"	25	Not Applicable	Not Applicable
"Blount County, AL"	"01009"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Bullock County, AL"	"01011"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"Bullock County, AL"	"01011"	"Medical Facility - Outpatient or ER"	"2"	Suppressed	Not Applicable	Not Applicable
"Bullock County, AL"	"01011"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Bullock County, AL"	"01011"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Bullock County, AL"	"01011"	"Decedent's home"	"4"	Suppressed	Not Applicable	Not Applicable
"Bullock County, AL"	"01011"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Bullock County, AL"	"01011"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Bullock County, AL"	"01011"	"Other"	"7"	Suppressed	Not Applicable	Not Applicable
"Bullock County, AL"	"01011"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Butler County, AL"	"01013"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"Butler County, AL"	"01013"	"Medical Facility - Outpatient or ER"	"2"	Suppressed	Not Applicable	Not Applicable
"Butler County, AL"	"01013"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Butler County, AL"	"01013"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Butler County, AL"	"01013"	"Decedent's home"	"4"	Suppressed	Not Applicable	Not Applicable
"Butler County, AL"	"01013"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Butler County, AL"	"01013"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Butler County, AL"	"01013"	"Other"	"7"	Suppressed	Not Applicable	Not Applicable
"Butler County, AL"	"01013"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Calhoun County, AL"	"01015"	"Medical Facility - Inpatient"	"1"	24	Not Applicable	Not Applicable
"Calhoun County, AL"	"01015"	"Medical Facility - Outpatient or ER"	"2"	25	Not Applicable	Not Applicable
"Calhoun County, AL"	"01015"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Calhoun County, AL"	"01015"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Calhoun County, AL"	"01015"	"Decedent's home"	"4"	92	Not Applicable	Not Applicable
"Calhoun County, AL"	"01015"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Calhoun County, AL"	"01015"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Calhoun County, AL"	"01015"	"Other"	"7"	38	Not Applicable	Not Applicable
"Calhoun County, AL"	"01015"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Chambers County, AL"	"01017"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"Chambers County, AL"	"01017"	"Medical Facility - Outpatient or ER"	"2"	10	Not Applicable	Not Applicable
"Chambers County, AL"	"01017"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Chambers County, AL"	"01017"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Chambers County, AL"	"01017"	"Decedent's home"	"4"	21	Not Applicable	Not Applicable
"Chambers County, AL"	"01017"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Chambers County, AL"	"01017"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Chambers County, AL"	"01017"	"Other"	"7"	10	Not Applicable	Not Applicable
"Chambers County, AL"	"01017"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Cherokee County, AL"	"01019"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"Cherokee County, AL"	"01019"	"Medical Facility - Outpatient or ER"	"2"	Suppressed	Not Applicable	Not Applicable
"Cherokee County, AL"	"01019"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Cherokee County, AL"	"01019"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Cherokee County, AL"	"01019"	"Decedent's home"	"4"	24	Not Applicable	Not Applicable
"Cherokee County, AL"	"01019"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
