"State"	"State Code"	"Place of Death"	"Place of Death Code"	Deaths	Population	Crude Rate
"Alabama"	"01"	"Medical Facility - Inpatient"	"1"	842	Not Applicable	Not Applicable
"Alabama"	"01"	"Medical Facility - Outpatient or ER"	"2"	938	Not Applicable	Not Applicable
"Alabama"	"01"	"Medical Facility - Dead on Arrival"	"3"	96	Not Applicable	Not Applicable
"Alabama"	"01"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Alabama"	"01"	"Decedent's home"	"4"	3831	Not Applicable	Not Applicable
"Alabama"	"01"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Alabama"	"01"	"Nursing home/long term care"	"6"	15	Not Applicable	Not Applicable
"Alabama"	"01"	"Other"	"7"	1549	Not Applicable	Not Applicable
"Alabama"	"01"	"Place of death unknown"	"9"	25	Not Applicable	Not Applicable
"Alaska"	"02"	"Medical Facility - Inpatient"	"1"	124	Not Applicable	Not Applicable
"Alaska"	"02"	"Medical Facility - Outpatient or ER"	"2"	183	Not Applicable	Not Applicable
"Alaska"	"02"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Alaska"	"02"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Alaska"	"02"	"Decedent's home"	"4"	952	Not Applicable	Not Applicable
"Alaska"	"02"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Alaska"	"02"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Alaska"	"02"	"Other"	"7"	263	Not Applicable	Not Applicable
"Alaska"	"02"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Arizona"	"04"	"Medical Facility - Inpatient"	"1"	1467	Not Applicable	Not Applicable
"Arizona"	"04"	"Medical Facility - Outpatient or ER"	"2"	2230	Not Applicable	Not Applicable
"Arizona"	"04"	"Medical Facility - Dead on Arrival"	"3"	63	Not Applicable	Not Applicable
"Arizona"	"04"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Arizona"	"04"	"Decedent's home"	"4"	7957	Not Applicable	Not Applicable
"Arizona"	"04"	"Hospice facility"	"5"	82	Not Applicable	Not Applicable
"Arizona"	"04"	"Nursing home/long term care"	"6"	161	Not Applicable	Not Applicable
"Arizona"	"04"	"Other"	"7"	2903	Not Applicable	Not Applicable
"Arizona"	"04"	"Place of death unknown"	"9"	29	Not Applicable	Not Applicable
"Arkansas"	"05"	"Medical Facility - Inpatient"	"1"	595	Not Applicable	Not Applicable
"Arkansas"	"05"	"Medical Facility - Outpatient or ER"	"2"	697	Not Applicable	Not Applicable
"Arkansas"	"05"	"Medical Facility - Dead on Arrival"	"3"	84	Not Applicable	Not Applicable
"Arkansas"	"05"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Arkansas"	"05"	"Decedent's home"	"4"	2537	Not Applicable	Not Applicable
"Arkansas"	"05"	"Hospice facility"	"5"	18	Not Applicable	Not Applicable
"Arkansas"	"05"	"Nursing home/long term care"	"6"	20	Not Applicable	Not Applicable
"Arkansas"	"05"	"Other"	"7"	644	Not Applicable	Not Applicable
"Arkansas"	"05"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"California"	"06"	"Medical Facility - Inpatient"	"1"	5659	Not Applicable	Not Applicable
"California"	"06"	"Medical Facility - Outpatient or ER"	"2"	9156	Not Applicable	Not Applicable
"California"	"06"	"Medical Facility - Dead on Arrival"	"3"	112	Not Applicable	Not Applicable
"California"	"06"	"Medical Facility - Status unknown"	"10"	30	Not Applicable	Not Applicable
"California"	"06"	"Decedent's home"	"4"	30375	Not Applicable	Not Applicable
"California"	"06"	"Hospice facility"	"5"	29	Not Applicable	Not Applicable
"California"	"06"	"Nursing home/long term care"	"6"	236	Not Applicable	Not Applicable
"California"	"06"	"Other"	"7"	12931	Not Applicable	Not Applicable
"California"	"06"	"Place of death unknown"	"9"	61	Not Applicable	Not Applicable
"Colorado"	"08"	"Medical Facility - Inpatient"	"1"	982	Not Applicable	Not Applicable
"Colorado"	"08"	"Medical Facility - Outpatient or ER"	"2"	1096	Not Applicable	Not Applicable
"Colorado"	"08"	"Medical Facility - Dead on Arrival"	"3"	48	Not Applicable	Not Applicable
"Colorado"	"08"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Colorado"	"08"	"Decedent's home"	"4"	6711	Not Applicable	Not Applicable
"Colorado"	"08"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Colorado"	"08"	"Nursing home/long term care"	"6"	62	Not Applicable	Not Applicable
"Colorado"	"08"	"Other"	"7"	1872	Not Applicable	Not Applicable
"Colorado"	"08"	"Place of death unknown"	"9"	22	Not Applicable	Not Applicable
"Connecticut"	"09"	"Medical Facility - Inpatient"	"1"	557	Not Applicable	Not Applicable
"Connecticut"	"09"	"Medical Facility - Outpatient or ER"	"2"	1281	Not Applicable	Not Applicable
"Connecticut"	"09"	"Medical Facility - Dead on Arrival"	"3"	632	Not Applicable	Not Applicable
"Connecticut"	"09"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Connecticut"	"09"	"Decedent's home"	"4"	3157	Not Applicable	Not Applicable
"Connecticut"	"09"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Connecticut"	"09"	"Nursing home/long term care"	"6"	12	Not Applicable	Not Applicable
"Connecticut"	"09"	"Other"	"7"	1255	Not Applicable	Not Applicable
"Connecticut"	"09"	"Place of death unknown"	"9"	47	Not Applicable	Not Applicable
"Delaware"	"10"	"Medical Facility - Inpatient"	"1"	215	Not Applicable	Not Applicable
"Delaware"	"10"	"Medical Facility - Outpatient or ER"	"2"	378	Not Applicable	Not Applicable
"Delaware"	"10"	"Medical Facility - Dead on Arrival"	"3"	14	Not Applicable	Not Applicable
"Delaware"	"10"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Delaware"	"10"	"Decedent's home"	"4"	926	Not Applicable	Not Applicable
"Delaware"	"10"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Delaware"	"10"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Delaware"	"10"	"Other"	"7"	329	Not Applicable	Not Applicable
"Delaware"	"10"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"District of Columbia"	"11"	"Medical Facility - Inpatient"	"1"	170	Not Applicable	Not Applicable
"District of Columbia"	"11"	"Medical Facility - Outpatient or ER"	"2"	443	Not Applicable	Not Applicable
"District of Columbia"	"11"	"Medical Facility - Dead on Arrival"	"3"	23	Not Applicable	Not Applicable
"District of Columbia"	"11"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"District of Columbia"	"11"	"Decedent's home"	"4"	208	Not Applicable	Not Applicable
"District of Columbia"	"11"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"District of Columbia"	"11"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"District of Columbia"	"11"	"Other"	"7"	472	Not Applicable	Not Applicable
"District of Columbia"	"11"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Florida"	"12"	"Medical Facility - Inpatient"	"1"	3700	Not Applicable	Not Applicable
"Florida"	"12"	"Medical Facility - Outpatient or ER"	"2"	5339	Not Applicable	Not Applicable
"Florida"	"12"	"Medical Facility - Dead on Arrival"	"3"	548	Not Applicable	Not Applicable
"Florida"	"12"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Florida"	"12"	"Decedent's home"	"4"	22532	Not Applicable	Not Applicable
"Florida"	"12"	"Hospice facility"	"5"	302	Not Applicable	Not Applicable
"Florida"	"12"	"Nursing home/long term care"	"6"	96	Not Applicable	Not Applicable
"Florida"	"12"	"Other"	"7"	7780	Not Applicable	Not Applicable
"Florida"	"12"	"Place of death unknown"	"9"	21	Not Applicable	Not Applicable
"Georgia"	"13"	"Medical Facility - Inpatient"	"1"	1233	Not Applicable	Not Applicable
"Georgia"	"13"	"Medical Facility - Outpatient or ER"	"2"	1968	Not Applicable	Not Applicable
"Georgia"	"13"	"Medical Facility - Dead on Arrival"	"3"	960	Not Applicable	Not Applicable
"Georgia"	"13"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Georgia"	"13"	"Decedent's home"	"4"	5900	Not Applicable	Not Applicable
"Georgia"	"13"	"Hospice facility"	"5"	37	Not Applicable	Not Applicable
"Georgia"	"13"	"Nursing home/long term care"	"6"	32	Not Applicable	Not Applicable
"Georgia"	"13"	"Other"	"7"	2295	Not Applicable	Not Applicable
"Georgia"	"13"	"Place of death unknown"	"9"	1570	Not Applicable	Not Applicable
"Hawaii"	"15"	"Medical Facility - Inpatient"	"1"	223	Not Applicable	Not Applicable
"Hawaii"	"15"	"Medical Facility - Outpatient or ER"	"2"	410	Not Applicable	Not Applicable
"Hawaii"	"15"	"Medical Facility - Dead on Arrival"	"3"	280	Not Applicable	Not Applicable
"Hawaii"	"15"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Hawaii"	"15"	"Decedent's home"	"4"	788	Not Applicable	Not Applicable
"Hawaii"	"15"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Hawaii"	"15"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Hawaii"	"15"	"Other"	"7"	327	Not Applicable	Not Applicable
"Hawaii"	"15"	"Place of death unknown"	"9"	16	Not Applicable	Not Applicable
"Idaho"	"16"	"Medical Facility - Inpatient"	"1"	230	Not Applicable	Not Applicable
"Idaho"	"16"	"Medical Facility - Outpatient or ER"	"2"	196	Not Applicable	Not Applicable
"Idaho"	"16"	"Medical Facility - Dead on Arrival"	"3"	23	Not Applicable	Not Applicable
"Idaho"	"16"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Idaho"	"16"	"Decedent's home"	"4"	1531	Not Applicable	Not Applicable
"Idaho"	"16"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Idaho"	"16"	"Nursing home/long term care"	"6"	15	Not Applicable	Not Applicable
"Idaho"	"16"	"Other"	"7"	383	Not Applicable	Not Applicable
"Idaho"	"16"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Illinois"	"17"	"Medical Facility - Inpatient"	"1"	1975	Not Applicable	Not Applicable
"Illinois"	"17"	"Medical Facility - Outpatient or ER"	"2"	4115	Not Applicable	Not Applicable
"Illinois"	"17"	"Medical Facility - Dead on Arrival"	"3"	1776	Not Applicable	Not Applicable
"Illinois"	"17"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Illinois"	"17"	"Decedent's home"	"4"	9238	Not Applicable	Not Applicable
"Illinois"	"17"	"Hospice facility"	"5"	27	Not Applicable	Not Applicable
"Illinois"	"17"	"Nursing home/long term care"	"6"	77	Not Applicable	Not Applicable
"Illinois"	"17"	"Other"	"7"	3709	Not Applicable	Not Applicable
"Illinois"	"17"	"Place of death unknown"	"9"	25	Not Applicable	Not Applicable
"Indiana"	"18"	"Medical Facility - Inpatient"	"1"	1523	Not Applicable	Not Applicable
"Indiana"	"18"	"Medical Facility - Outpatient or ER"	"2"	1771	Not Applicable	Not Applicable
"Indiana"	"18"	"Medical Facility - Dead on Arrival"	"3"	150	Not Applicable	Not Applicable
"Indiana"	"18"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Indiana"	"18"	"Decedent's home"	"4"	6462	Not Applicable	Not Applicable
"Indiana"	"18"	"Hospice facility"	"5"	20	Not Applicable	Not Applicable
"Indiana"	"18"	"Nursing home/long term care"	"6"	42	Not Applicable	Not Applicable
"Indiana"	"18"	"Other"	"7"	2051	Not Applicable	Not Applicable
"Indiana"	"18"	"Place of death unknown"	"9"	27	Not Applicable	Not Applicable
"Iowa"	"19"	"Medical Facility - Inpatient"	"1"	377	Not Applicable	Not Applicable
"Iowa"	"19"	"Medical Facility - Outpatient or ER"	"2"	443	Not Applicable	Not Applicable
"Iowa"	"19"	"Medical Facility - Dead on Arrival"	"3"	61	Not Applicable	Not Applicable
"Iowa"	"19"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Iowa"	"19"	"Decedent's home"	"4"	1725	Not Applicable	Not Applicable
"Iowa"	"19"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Iowa"	"19"	"Nursing home/long term care"	"6"	16	Not Applicable	Not Applicable
"Iowa"	"19"	"Other"	"7"	364	Not Applicable	Not Applicable
"Iowa"	"19"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Kansas"	"20"	"Medical Facility - Inpatient"	"1"	424	Not Applicable	Not Applicable
"Kansas"	"20"	"Medical Facility - Outpatient or ER"	"2"	477	Not Applicable	Not Applicable
"Kansas"	"20"	"Medical Facility - Dead on Arrival"	"3"	51	Not Applicable	Not Applicable
"Kansas"	"20"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Kansas"	"20"	"Decedent's home"	"4"	2404	Not Applicable	Not Applicable
"Kansas"	"20"	"Hospice facility"	"5"	14	Not Applicable	Not Applicable
"Kansas"	"20"	"Nursing home/long term care"	"6"	10	Not Applicable	Not Applicable
"Kansas"	"20"	"Other"	"7"	607	Not Applicable	Not Applicable
"Kansas"	"20"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Kentucky"	"21"	"Medical Facility - Inpatient"	"1"	1213	Not Applicable	Not Applicable
"Kentucky"	"21"	"Medical Facility - Outpatient or ER"	"2"	1973	Not Applicable	Not Applicable
