"State"	"State Code"	"Year"	"Year Code"	"Place of Death"	"Place of Death Code"	Deaths	Population	Crude Rate
"Alabama"	"01"	"1999"	"1999"	"Medical Facility - Inpatient"	"1"	37	Not Applicable	Not Applicable
"Alabama"	"01"	"1999"	"1999"	"Medical Facility - Outpatient or ER"	"2"	23	Not Applicable	Not Applicable
"Alabama"	"01"	"1999"	"1999"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Alabama"	"01"	"1999"	"1999"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Alabama"	"01"	"1999"	"1999"	"Decedent's home"	"4"	82	Not Applicable	Not Applicable
"Alabama"	"01"	"1999"	"1999"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Alabama"	"01"	"1999"	"1999"	"Other"	"7"	20	Not Applicable	Not Applicable
"Alabama"	"01"	"1999"	"1999"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Alabama"	"01"	"2000"	"2000"	"Medical Facility - Inpatient"	"1"	23	Not Applicable	Not Applicable
"Alabama"	"01"	"2000"	"2000"	"Medical Facility - Outpatient or ER"	"2"	26	Not Applicable	Not Applicable
"Alabama"	"01"	"2000"	"2000"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Alabama"	"01"	"2000"	"2000"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Alabama"	"01"	"2000"	"2000"	"Decedent's home"	"4"	97	Not Applicable	Not Applicable
"Alabama"	"01"	"2000"	"2000"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Alabama"	"01"	"2000"	"2000"	"Other"	"7"	37	Not Applicable	Not Applicable
"Alabama"	"01"	"2000"	"2000"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Alabama"	"01"	"2001"	"2001"	"Medical Facility - Inpatient"	"1"	49	Not Applicable	Not Applicable
"Alabama"	"01"	"2001"	"2001"	"Medical Facility - Outpatient or ER"	"2"	29	Not Applicable	Not Applicable
"Alabama"	"01"	"2001"	"2001"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Alabama"	"01"	"2001"	"2001"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Alabama"	"01"	"2001"	"2001"	"Decedent's home"	"4"	99	Not Applicable	Not Applicable
"Alabama"	"01"	"2001"	"2001"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Alabama"	"01"	"2001"	"2001"	"Other"	"7"	31	Not Applicable	Not Applicable
"Alabama"	"01"	"2001"	"2001"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Alabama"	"01"	"2002"	"2002"	"Medical Facility - Inpatient"	"1"	34	Not Applicable	Not Applicable
"Alabama"	"01"	"2002"	"2002"	"Medical Facility - Outpatient or ER"	"2"	25	Not Applicable	Not Applicable
"Alabama"	"01"	"2002"	"2002"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Alabama"	"01"	"2002"	"2002"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Alabama"	"01"	"2002"	"2002"	"Decedent's home"	"4"	92	Not Applicable	Not Applicable
"Alabama"	"01"	"2002"	"2002"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Alabama"	"01"	"2002"	"2002"	"Other"	"7"	45	Not Applicable	Not Applicable
"Alabama"	"01"	"2002"	"2002"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Alabama"	"01"	"2003"	"2003"	"Medical Facility - Inpatient"	"1"	30	Not Applicable	Not Applicable
"Alabama"	"01"	"2003"	"2003"	"Medical Facility - Outpatient or ER"	"2"	37	Not Applicable	Not Applicable
"Alabama"	"01"	"2003"	"2003"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Alabama"	"01"	"2003"	"2003"	"Decedent's home"	"4"	80	Not Applicable	Not Applicable
"Alabama"	"01"	"2003"	"2003"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Alabama"	"01"	"2003"	"2003"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Alabama"	"01"	"2003"	"2003"	"Other"	"7"	39	Not Applicable	Not Applicable
"Alabama"	"01"	"2003"	"2003"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Alabama"	"01"	"2004"	"2004"	"Medical Facility - Inpatient"	"1"	43	Not Applicable	Not Applicable
"Alabama"	"01"	"2004"	"2004"	"Medical Facility - Outpatient or ER"	"2"	48	Not Applicable	Not Applicable
"Alabama"	"01"	"2004"	"2004"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Alabama"	"01"	"2004"	"2004"	"Decedent's home"	"4"	127	Not Applicable	Not Applicable
"Alabama"	"01"	"2004"	"2004"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Alabama"	"01"	"2004"	"2004"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Alabama"	"01"	"2004"	"2004"	"Other"	"7"	54	Not Applicable	Not Applicable
"Alabama"	"01"	"2004"	"2004"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Alabama"	"01"	"2005"	"2005"	"Medical Facility - Inpatient"	"1"	46	Not Applicable	Not Applicable
"Alabama"	"01"	"2005"	"2005"	"Medical Facility - Outpatient or ER"	"2"	31	Not Applicable	Not Applicable
"Alabama"	"01"	"2005"	"2005"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Alabama"	"01"	"2005"	"2005"	"Decedent's home"	"4"	123	Not Applicable	Not Applicable
"Alabama"	"01"	"2005"	"2005"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Alabama"	"01"	"2005"	"2005"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Alabama"	"01"	"2005"	"2005"	"Other"	"7"	65	Not Applicable	Not Applicable
"Alabama"	"01"	"2005"	"2005"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Alabama"	"01"	"2006"	"2006"	"Medical Facility - Inpatient"	"1"	39	Not Applicable	Not Applicable
"Alabama"	"01"	"2006"	"2006"	"Medical Facility - Outpatient or ER"	"2"	56	Not Applicable	Not Applicable
"Alabama"	"01"	"2006"	"2006"	"Medical Facility - Dead on Arrival"	"3"	10	Not Applicable	Not Applicable
"Alabama"	"01"	"2006"	"2006"	"Decedent's home"	"4"	186	Not Applicable	Not Applicable
"Alabama"	"01"	"2006"	"2006"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Alabama"	"01"	"2006"	"2006"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Alabama"	"01"	"2006"	"2006"	"Other"	"7"	98	Not Applicable	Not Applicable
"Alabama"	"01"	"2006"	"2006"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Alabama"	"01"	"2007"	"2007"	"Medical Facility - Inpatient"	"1"	57	Not Applicable	Not Applicable
"Alabama"	"01"	"2007"	"2007"	"Medical Facility - Outpatient or ER"	"2"	63	Not Applicable	Not Applicable
"Alabama"	"01"	"2007"	"2007"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Alabama"	"01"	"2007"	"2007"	"Decedent's home"	"4"	257	Not Applicable	Not Applicable
"Alabama"	"01"	"2007"	"2007"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Alabama"	"01"	"2007"	"2007"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Alabama"	"01"	"2007"	"2007"	"Other"	"7"	110	Not Applicable	Not Applicable
"Alabama"	"01"	"2007"	"2007"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Alabama"	"01"	"2008"	"2008"	"Medical Facility - Inpatient"	"1"	41	Not Applicable	Not Applicable
"Alabama"	"01"	"2008"	"2008"	"Medical Facility - Outpatient or ER"	"2"	61	Not Applicable	Not Applicable
"Alabama"	"01"	"2008"	"2008"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Alabama"	"01"	"2008"	"2008"	"Decedent's home"	"4"	357	Not Applicable	Not Applicable
"Alabama"	"01"	"2008"	"2008"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Alabama"	"01"	"2008"	"2008"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Alabama"	"01"	"2008"	"2008"	"Other"	"7"	121	Not Applicable	Not Applicable
"Alabama"	"01"	"2008"	"2008"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Alabama"	"01"	"2009"	"2009"	"Medical Facility - Inpatient"	"1"	62	Not Applicable	Not Applicable
"Alabama"	"01"	"2009"	"2009"	"Medical Facility - Outpatient or ER"	"2"	69	Not Applicable	Not Applicable
"Alabama"	"01"	"2009"	"2009"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Alabama"	"01"	"2009"	"2009"	"Decedent's home"	"4"	347	Not Applicable	Not Applicable
"Alabama"	"01"	"2009"	"2009"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Alabama"	"01"	"2009"	"2009"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Alabama"	"01"	"2009"	"2009"	"Other"	"7"	134	Not Applicable	Not Applicable
"Alabama"	"01"	"2009"	"2009"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Alabama"	"01"	"2010"	"2010"	"Medical Facility - Inpatient"	"1"	60	Not Applicable	Not Applicable
"Alabama"	"01"	"2010"	"2010"	"Medical Facility - Outpatient or ER"	"2"	78	Not Applicable	Not Applicable
"Alabama"	"01"	"2010"	"2010"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Alabama"	"01"	"2010"	"2010"	"Decedent's home"	"4"	290	Not Applicable	Not Applicable
"Alabama"	"01"	"2010"	"2010"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Alabama"	"01"	"2010"	"2010"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Alabama"	"01"	"2010"	"2010"	"Other"	"7"	104	Not Applicable	Not Applicable
"Alabama"	"01"	"2010"	"2010"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Alabama"	"01"	"2011"	"2011"	"Medical Facility - Inpatient"	"1"	52	Not Applicable	Not Applicable
"Alabama"	"01"	"2011"	"2011"	"Medical Facility - Outpatient or ER"	"2"	75	Not Applicable	Not Applicable
"Alabama"	"01"	"2011"	"2011"	"Medical Facility - Dead on Arrival"	"3"	10	Not Applicable	Not Applicable
"Alabama"	"01"	"2011"	"2011"	"Decedent's home"	"4"	295	Not Applicable	Not Applicable
"Alabama"	"01"	"2011"	"2011"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Alabama"	"01"	"2011"	"2011"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Alabama"	"01"	"2011"	"2011"	"Other"	"7"	112	Not Applicable	Not Applicable
"Alabama"	"01"	"2011"	"2011"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Alabama"	"01"	"2012"	"2012"	"Medical Facility - Inpatient"	"1"	74	Not Applicable	Not Applicable
"Alabama"	"01"	"2012"	"2012"	"Medical Facility - Outpatient or ER"	"2"	83	Not Applicable	Not Applicable
"Alabama"	"01"	"2012"	"2012"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Alabama"	"01"	"2012"	"2012"	"Decedent's home"	"4"	286	Not Applicable	Not Applicable
"Alabama"	"01"	"2012"	"2012"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Alabama"	"01"	"2012"	"2012"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Alabama"	"01"	"2012"	"2012"	"Other"	"7"	108	Not Applicable	Not Applicable
"Alabama"	"01"	"2012"	"2012"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Alabama"	"01"	"2013"	"2013"	"Medical Facility - Inpatient"	"1"	60	Not Applicable	Not Applicable
"Alabama"	"01"	"2013"	"2013"	"Medical Facility - Outpatient or ER"	"2"	68	Not Applicable	Not Applicable
"Alabama"	"01"	"2013"	"2013"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Alabama"	"01"	"2013"	"2013"	"Decedent's home"	"4"	316	Not Applicable	Not Applicable
"Alabama"	"01"	"2013"	"2013"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Alabama"	"01"	"2013"	"2013"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Alabama"	"01"	"2013"	"2013"	"Other"	"7"	139	Not Applicable	Not Applicable
"Alabama"	"01"	"2013"	"2013"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Alabama"	"01"	"2014"	"2014"	"Medical Facility - Inpatient"	"1"	61	Not Applicable	Not Applicable
"Alabama"	"01"	"2014"	"2014"	"Medical Facility - Outpatient or ER"	"2"	72	Not Applicable	Not Applicable
"Alabama"	"01"	"2014"	"2014"	"Medical Facility - Dead on Arrival"	"3"	11	Not Applicable	Not Applicable
"Alabama"	"01"	"2014"	"2014"	"Decedent's home"	"4"	408	Not Applicable	Not Applicable
"Alabama"	"01"	"2014"	"2014"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Alabama"	"01"	"2014"	"2014"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Alabama"	"01"	"2014"	"2014"	"Other"	"7"	160	Not Applicable	Not Applicable
"Alabama"	"01"	"2014"	"2014"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Alabama"	"01"	"2015"	"2015"	"Medical Facility - Inpatient"	"1"	74	Not Applicable	Not Applicable
"Alabama"	"01"	"2015"	"2015"	"Medical Facility - Outpatient or ER"	"2"	94	Not Applicable	Not Applicable
"Alabama"	"01"	"2015"	"2015"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Alabama"	"01"	"2015"	"2015"	"Decedent's home"	"4"	389	Not Applicable	Not Applicable
