"Year"	"Year Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate
"1999"	"1999"	"American Indian or Alaska Native"	"1002-5"	132	2832761	4.7
"1999"	"1999"	"Asian or Pacific Islander"	"A-PI"	130	11346496	1.1
"1999"	"1999"	"Black or African American"	"2054-5"	2452	36173121	6.8
"1999"	"1999"	"White"	"2106-3"	13756	228687790	6.0
"2000"	"2000"	"American Indian or Alaska Native"	"1002-5"	137	2984150	4.6
"2000"	"2000"	"Asian or Pacific Islander"	"A-PI"	123	11757685	1.0
"2000"	"2000"	"Black or African American"	"2054-5"	2393	36594309	6.5
"2000"	"2000"	"White"	"2106-3"	14336	230085762	6.2
"2001"	"2001"	"American Indian or Alaska Native"	"1002-5"	157	3097333	5.1
"2001"	"2001"	"Asian or Pacific Islander"	"A-PI"	142	12429181	1.1
"2001"	"2001"	"Black or African American"	"2054-5"	2522	37249775	6.8
"2001"	"2001"	"White"	"2106-3"	16097	232192666	6.9
"2002"	"2002"	"American Indian or Alaska Native"	"1002-5"	206	3202471	6.4
"2002"	"2002"	"Asian or Pacific Islander"	"A-PI"	173	12953763	1.3
"2002"	"2002"	"Black or African American"	"2054-5"	2775	37748424	7.4
"2002"	"2002"	"White"	"2106-3"	19872	233720535	8.5
"2003"	"2003"	"American Indian or Alaska Native"	"1002-5"	256	3312011	7.7
"2003"	"2003"	"Asian or Pacific Islander"	"A-PI"	188	13461109	1.4
"2003"	"2003"	"Black or African American"	"2054-5"	2826	38209741	7.4
"2003"	"2003"	"White"	"2106-3"	22008	235125072	9.4
"2004"	"2004"	"American Indian or Alaska Native"	"1002-5"	304	3429452	8.9
"2004"	"2004"	"Asian or Pacific Islander"	"A-PI"	211	13967014	1.5
"2004"	"2004"	"Black or African American"	"2054-5"	2890	38738798	7.5
"2004"	"2004"	"White"	"2106-3"	23517	236670034	9.9
"2005"	"2005"	"American Indian or Alaska Native"	"1002-5"	322	3554356	9.1
"2005"	"2005"	"Asian or Pacific Islander"	"A-PI"	236	14494417	1.6
"2005"	"2005"	"Black or African American"	"2054-5"	3339	39280731	8.5
"2005"	"2005"	"White"	"2106-3"	25376	238187095	10.7
"2006"	"2006"	"American Indian or Alaska Native"	"1002-5"	354	3687683	9.6
"2006"	"2006"	"Asian or Pacific Islander"	"A-PI"	275	15029851	1.8
"2006"	"2006"	"Black or African American"	"2054-5"	3923	39857107	9.8
"2006"	"2006"	"White"	"2106-3"	29358	239805271	12.2
"2007"	"2007"	"American Indian or Alaska Native"	"1002-5"	358	3829898	9.3
"2007"	"2007"	"Asian or Pacific Islander"	"A-PI"	287	15559373	1.8
"2007"	"2007"	"Black or African American"	"2054-5"	3577	40451108	8.8
"2007"	"2007"	"White"	"2106-3"	31200	241390828	12.9
"2008"	"2008"	"American Indian or Alaska Native"	"1002-5"	416	3983929	10.4
"2008"	"2008"	"Asian or Pacific Islander"	"A-PI"	273	16094699	1.7
"2008"	"2008"	"Black or African American"	"2054-5"	3144	41048959	7.7
"2008"	"2008"	"White"	"2106-3"	32004	242966379	13.2
"2009"	"2009"	"American Indian or Alaska Native"	"1002-5"	462	4141215	11.2
"2009"	"2009"	"Asian or Pacific Islander"	"A-PI"	326	16609031	2.0
"2009"	"2009"	"Black or African American"	"2054-5"	3179	41632450	7.6
"2009"	"2009"	"White"	"2106-3"	32572	244388833	13.3
"2010"	"2010"	"American Indian or Alaska Native"	"1002-5"	431	4263538	10.1
"2010"	"2010"	"Asian or Pacific Islander"	"A-PI"	328	16993326	1.9
"2010"	"2010"	"Black or African American"	"2054-5"	3125	42065334	7.4
"2010"	"2010"	"White"	"2106-3"	33988	245423340	13.8
"2011"	"2011"	"American Indian or Alaska Native"	"1002-5"	475	4347413	10.9
"2011"	"2011"	"Asian or Pacific Islander"	"A-PI"	430	17471358	2.5
"2011"	"2011"	"Black or African American"	"2054-5"	3404	42678815	8.0
"2011"	"2011"	"White"	"2106-3"	36611	247094331	14.8
"2012"	"2012"	"American Indian or Alaska Native"	"1002-5"	524	4398436	11.9
"2012"	"2012"	"Asian or Pacific Islander"	"A-PI"	403	18087959	2.2
"2012"	"2012"	"Black or African American"	"2054-5"	3520	43203092	8.1
"2012"	"2012"	"White"	"2106-3"	36638	248224553	14.8
"2013"	"2013"	"American Indian or Alaska Native"	"1002-5"	520	4457934	11.7
"2013"	"2013"	"Asian or Pacific Islander"	"A-PI"	435	18630136	2.3
"2013"	"2013"	"Black or African American"	"2054-5"	3952	43696271	9.0
"2013"	"2013"	"White"	"2106-3"	38655	249344498	15.5
"2014"	"2014"	"American Indian or Alaska Native"	"1002-5"	576	4518981	12.7
"2014"	"2014"	"Asian or Pacific Islander"	"A-PI"	498	19398214	2.6
"2014"	"2014"	"Black or African American"	"2054-5"	4377	44309394	9.9
"2014"	"2014"	"White"	"2106-3"	41207	250630467	16.4
"2015"	"2015"	"American Indian or Alaska Native"	"1002-5"	597	4577853	13.0
"2015"	"2015"	"Asian or Pacific Islander"	"A-PI"	586	20102717	2.9
"2015"	"2015"	"Black or African American"	"2054-5"	5139	44863196	11.5
"2015"	"2015"	"White"	"2106-3"	45693	251875054	18.1
