"County"	"County Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate
"Autauga County, AL"	"01001"	"American Indian or Alaska Native"	"1002-5"	Suppressed	4183	Suppressed
"Autauga County, AL"	"01001"	"Asian or Pacific Islander"	"A-PI"	Suppressed	8590	Suppressed
"Autauga County, AL"	"01001"	"Black or African American"	"2054-5"	Suppressed	157149	Suppressed
"Autauga County, AL"	"01001"	"White"	"2106-3"	56	694837	8.1
"Baldwin County, AL"	"01003"	"American Indian or Alaska Native"	"1002-5"	Suppressed	21941	Suppressed
"Baldwin County, AL"	"01003"	"Asian or Pacific Islander"	"A-PI"	Suppressed	23346	Suppressed
"Baldwin County, AL"	"01003"	"Black or African American"	"2054-5"	12	289225	Unreliable
"Baldwin County, AL"	"01003"	"White"	"2106-3"	379	2561138	14.8
"Barbour County, AL"	"01005"	"American Indian or Alaska Native"	"1002-5"	Suppressed	2655	Suppressed
"Barbour County, AL"	"01005"	"Asian or Pacific Islander"	"A-PI"	Suppressed	2461	Suppressed
"Barbour County, AL"	"01005"	"Black or African American"	"2054-5"	Suppressed	224678	Suppressed
"Barbour County, AL"	"01005"	"White"	"2106-3"	10	243846	Unreliable
"Bibb County, AL"	"01007"	"American Indian or Alaska Native"	"1002-5"	Suppressed	1129	Suppressed
"Bibb County, AL"	"01007"	"Asian or Pacific Islander"	"A-PI"	Suppressed	844	Suppressed
"Bibb County, AL"	"01007"	"Black or African American"	"2054-5"	Suppressed	83591	Suppressed
"Bibb County, AL"	"01007"	"White"	"2106-3"	39	289273	13.5
"Blount County, AL"	"01009"	"American Indian or Alaska Native"	"1002-5"	Suppressed	5698	Suppressed
"Blount County, AL"	"01009"	"Asian or Pacific Islander"	"A-PI"	Suppressed	3053	Suppressed
"Blount County, AL"	"01009"	"Black or African American"	"2054-5"	Suppressed	16079	Suppressed
"Blount County, AL"	"01009"	"White"	"2106-3"	121	915242	13.2
"Bullock County, AL"	"01011"	"American Indian or Alaska Native"	"1002-5"	Suppressed	1243	Suppressed
"Bullock County, AL"	"01011"	"Asian or Pacific Islander"	"A-PI"	Suppressed	1235	Suppressed
"Bullock County, AL"	"01011"	"Black or African American"	"2054-5"	Suppressed	134451	Suppressed
"Bullock County, AL"	"01011"	"White"	"2106-3"	Suppressed	50293	Suppressed
"Butler County, AL"	"01013"	"American Indian or Alaska Native"	"1002-5"	Suppressed	999	Suppressed
"Butler County, AL"	"01013"	"Asian or Pacific Islander"	"A-PI"	Suppressed	2325	Suppressed
"Butler County, AL"	"01013"	"Black or African American"	"2054-5"	Suppressed	151512	Suppressed
"Butler County, AL"	"01013"	"White"	"2106-3"	15	198787	Unreliable
"Calhoun County, AL"	"01015"	"American Indian or Alaska Native"	"1002-5"	Suppressed	9792	Suppressed
"Calhoun County, AL"	"01015"	"Asian or Pacific Islander"	"A-PI"	Suppressed	17830	Suppressed
"Calhoun County, AL"	"01015"	"Black or African American"	"2054-5"	Suppressed	400922	Suppressed
"Calhoun County, AL"	"01015"	"White"	"2106-3"	172	1531323	11.2
"Chambers County, AL"	"01017"	"American Indian or Alaska Native"	"1002-5"	Suppressed	1141	Suppressed
"Chambers County, AL"	"01017"	"Asian or Pacific Islander"	"A-PI"	Suppressed	2894	Suppressed
"Chambers County, AL"	"01017"	"Black or African American"	"2054-5"	Suppressed	233579	Suppressed
"Chambers County, AL"	"01017"	"White"	"2106-3"	42	357475	11.7
"Cherokee County, AL"	"01019"	"American Indian or Alaska Native"	"1002-5"	Suppressed	1946	Suppressed
"Cherokee County, AL"	"01019"	"Asian or Pacific Islander"	"A-PI"	Suppressed	1037	Suppressed
"Cherokee County, AL"	"01019"	"Black or African American"	"2054-5"	Suppressed	22558	Suppressed
"Cherokee County, AL"	"01019"	"White"	"2106-3"	49	403821	12.1
"Chilton County, AL"	"01021"	"American Indian or Alaska Native"	"1002-5"	Suppressed	2982	Suppressed
"Chilton County, AL"	"01021"	"Asian or Pacific Islander"	"A-PI"	Suppressed	3332	Suppressed
"Chilton County, AL"	"01021"	"Black or African American"	"2054-5"	Suppressed	75865	Suppressed
"Chilton County, AL"	"01021"	"White"	"2106-3"	95	636819	14.9
"Choctaw County, AL"	"01023"	"American Indian or Alaska Native"	"1002-5"	Suppressed	369	Suppressed
"Choctaw County, AL"	"01023"	"Asian or Pacific Islander"	"A-PI"	Suppressed	267	Suppressed
"Choctaw County, AL"	"01023"	"Black or African American"	"2054-5"	Suppressed	107496	Suppressed
"Choctaw County, AL"	"01023"	"White"	"2106-3"	Suppressed	137196	Suppressed
"Clarke County, AL"	"01025"	"American Indian or Alaska Native"	"1002-5"	Suppressed	1535	Suppressed
"Clarke County, AL"	"01025"	"Asian or Pacific Islander"	"A-PI"	Suppressed	1385	Suppressed
