"Year"	"Year Code"	Deaths	Population	Crude Rate
"1999"	"1999"	2391399	279040168	857.0
"2000"	"2000"	2403351	281421906	854.0
"2001"	"2001"	2416425	284968955	848.0
"2002"	"2002"	2443387	287625193	849.5
"2003"	"2003"	2448288	290107933	843.9
"2004"	"2004"	2397615	292805298	818.8
"2005"	"2005"	2448017	295516599	828.4
"2006"	"2006"	2426264	298379912	813.1
"2007"	"2007"	2423712	301231207	804.6
"2008"	"2008"	2471984	304093966	812.9
"2009"	"2009"	2437163	306771529	794.5
"2010"	"2010"	2468435	308745538	799.5
"2011"	"2011"	2515458	311591917	807.3
"2012"	"2012"	2543279	313914040	810.2
"2013"	"2013"	2596993	316128839	821.5
"2014"	"2014"	2626418	318857056	823.7
"2015"	"2015"	2712630	321418820	844.0
