"Census Region"	"Census Region Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	3459	53343775	6.5
"Census Region 1: Northeast"	"CENS-R1"	"2000"	"2000"	3502	53594378	6.5
"Census Region 1: Northeast"	"CENS-R1"	"2001"	"2001"	3976	53915522	7.4
"Census Region 1: Northeast"	"CENS-R1"	"2002"	"2002"	4225	54143915	7.8
"Census Region 1: Northeast"	"CENS-R1"	"2003"	"2003"	4592	54334453	8.5
"Census Region 1: Northeast"	"CENS-R1"	"2004"	"2004"	4318	54423533	7.9
"Census Region 1: Northeast"	"CENS-R1"	"2005"	"2005"	4902	54451230	9.0
"Census Region 1: Northeast"	"CENS-R1"	"2006"	"2006"	6013	54522659	11.0
"Census Region 1: Northeast"	"CENS-R1"	"2007"	"2007"	5981	54653362	10.9
"Census Region 1: Northeast"	"CENS-R1"	"2008"	"2008"	5863	54875926	10.7
"Census Region 1: Northeast"	"CENS-R1"	"2009"	"2009"	5458	55133101	9.9
"Census Region 1: Northeast"	"CENS-R1"	"2010"	"2010"	5889	55317240	10.6
"Census Region 1: Northeast"	"CENS-R1"	"2011"	"2011"	7077	55521598	12.7
"Census Region 1: Northeast"	"CENS-R1"	"2012"	"2012"	7501	55761091	13.5
"Census Region 1: Northeast"	"CENS-R1"	"2013"	"2013"	8334	55943073	14.9
"Census Region 1: Northeast"	"CENS-R1"	"2014"	"2014"	9010	56152333	16.0
"Census Region 1: Northeast"	"CENS-R1"	"2015"	"2015"	11023	56283891	19.6
"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	2692	64100061	4.2
"Census Region 2: Midwest"	"CENS-R2"	"2000"	"2000"	3057	64392776	4.7
"Census Region 2: Midwest"	"CENS-R2"	"2001"	"2001"	3550	64776531	5.5
"Census Region 2: Midwest"	"CENS-R2"	"2002"	"2002"	4165	65018293	6.4
"Census Region 2: Midwest"	"CENS-R2"	"2003"	"2003"	4243	65276954	6.5
"Census Region 2: Midwest"	"CENS-R2"	"2004"	"2004"	5161	65532305	7.9
"Census Region 2: Midwest"	"CENS-R2"	"2005"	"2005"	5717	65751872	8.7
"Census Region 2: Midwest"	"CENS-R2"	"2006"	"2006"	6918	66028555	10.5
"Census Region 2: Midwest"	"CENS-R2"	"2007"	"2007"	6965	66293689	10.5
"Census Region 2: Midwest"	"CENS-R2"	"2008"	"2008"	7390	66523935	11.1
"Census Region 2: Midwest"	"CENS-R2"	"2009"	"2009"	7447	66748437	11.2
"Census Region 2: Midwest"	"CENS-R2"	"2010"	"2010"	8094	66927001	12.1
