"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
"Autauga County, AL"	"01001"	"1999"	"1999"	Suppressed	42963	Suppressed
"Autauga County, AL"	"01001"	"2000"	"2000"	Suppressed	43671	Suppressed
"Autauga County, AL"	"01001"	"2001"	"2001"	Suppressed	44889	Suppressed
"Autauga County, AL"	"01001"	"2002"	"2002"	Suppressed	45909	Suppressed
"Autauga County, AL"	"01001"	"2003"	"2003"	Suppressed	46800	Suppressed
"Autauga County, AL"	"01001"	"2004"	"2004"	Suppressed	48366	Suppressed
"Autauga County, AL"	"01001"	"2005"	"2005"	Suppressed	49676	Suppressed
"Autauga County, AL"	"01001"	"2006"	"2006"	Suppressed	51328	Suppressed
"Autauga County, AL"	"01001"	"2007"	"2007"	Suppressed	52405	Suppressed
"Autauga County, AL"	"01001"	"2008"	"2008"	Suppressed	53277	Suppressed
"Autauga County, AL"	"01001"	"2009"	"2009"	Suppressed	54135	Suppressed
"Autauga County, AL"	"01001"	"2010"	"2010"	Suppressed	54571	Suppressed
"Autauga County, AL"	"01001"	"2011"	"2011"	Suppressed	55267	Suppressed
"Autauga County, AL"	"01001"	"2012"	"2012"	Suppressed	55514	Suppressed
"Autauga County, AL"	"01001"	"2013"	"2013"	Suppressed	55246	Suppressed
"Autauga County, AL"	"01001"	"2014"	"2014"	Suppressed	55395	Suppressed
"Autauga County, AL"	"01001"	"2015"	"2015"	Suppressed	55347	Suppressed
"Baldwin County, AL"	"01003"	"1999"	"1999"	11	137555	Unreliable
"Baldwin County, AL"	"01003"	"2000"	"2000"	12	140415	Unreliable
"Baldwin County, AL"	"01003"	"2001"	"2001"	12	144875	Unreliable
"Baldwin County, AL"	"01003"	"2002"	"2002"	16	147957	Unreliable
"Baldwin County, AL"	"01003"	"2003"	"2003"	11	151509	Unreliable
"Baldwin County, AL"	"01003"	"2004"	"2004"	20	156266	12.8
"Baldwin County, AL"	"01003"	"2005"	"2005"	22	162183	13.6
"Baldwin County, AL"	"01003"	"2006"	"2006"	20	168121	11.9
"Baldwin County, AL"	"01003"	"2007"	"2007"	27	172404	15.7
"Baldwin County, AL"	"01003"	"2008"	"2008"	26	175827	14.8
"Baldwin County, AL"	"01003"	"2009"	"2009"	32	179406	17.8
