"HHS Region"	"HHS Region Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"1999"	"1999"	985	13837653	7.1
"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"2000"	"2000"	985	13922517	7.1
"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"2001"	"2001"	1286	14041043	9.2
"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"2002"	"2002"	1437	14122441	10.2
"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"2003"	"2003"	1573	14182454	11.1
"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"2004"	"2004"	1401	14206683	9.9
"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"2005"	"2005"	1565	14216656	11.0
"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"2006"	"2006"	1909	14245540	13.4
"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"2007"	"2007"	1875	14279205	13.1
"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"2008"	"2008"	1691	14340115	11.8
"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"2009"	"2009"	1741	14403575	12.1
"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"2010"	"2010"	1605	14444865	11.1
"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"2011"	"2011"	1884	14492360	13.0
"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"2012"	"2012"	1868	14562704	12.8
"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"2013"	"2013"	2351	14618806	16.1
"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"2014"	"2014"	2781	14680722	18.9
"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"2015"	"2015"	3612	14727584	24.5
"HHS Region #2  NJ, NY"	"HHS2"	"1999"	"1999"	1494	27242317	5.5
"HHS Region #2  NJ, NY"	"HHS2"	"2000"	"2000"	1383	27390807	5.0
"HHS Region #2  NJ, NY"	"HHS2"	"2001"	"2001"	1748	27575509	6.3
"HHS Region #2  NJ, NY"	"HHS2"	"2002"	"2002"	1707	27690443	6.2
"HHS Region #2  NJ, NY"	"HHS2"	"2003"	"2003"	1653	27777341	6.0
"HHS Region #2  NJ, NY"	"HHS2"	"2004"	"2004"	1393	27806128	5.0
"HHS Region #2  NJ, NY"	"HHS2"	"2005"	"2005"	1738	27784584	6.3
"HHS Region #2  NJ, NY"	"HHS2"	"2006"	"2006"	2492	27766310	9.0
"HHS Region #2  NJ, NY"	"HHS2"	"2007"	"2007"	2394	27810220	8.6
"HHS Region #2  NJ, NY"	"HHS2"	"2008"	"2008"	2345	27923526	8.4
"HHS Region #2  NJ, NY"	"HHS2"	"2009"	"2009"	1827	28062668	6.5
"HHS Region #2  NJ, NY"	"HHS2"	"2010"	"2010"	2387	28169996	8.5
"HHS Region #2  NJ, NY"	"HHS2"	"2011"	"2011"	2921	28286352	10.3
"HHS Region #2  NJ, NY"	"HHS2"	"2012"	"2012"	3287	28434851	11.6
"HHS Region #2  NJ, NY"	"HHS2"	"2013"	"2013"	3574	28550466	12.5
"HHS Region #2  NJ, NY"	"HHS2"	"2014"	"2014"	3519	28684402	12.3
"HHS Region #2  NJ, NY"	"HHS2"	"2015"	"2015"	4167	28753804	14.5
"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"1999"	"1999"	2124	27675490	7.7
"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"2000"	"2000"	2381	27820058	8.6
"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"2001"	"2001"	2383	28043707	8.5
"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"2002"	"2002"	2654	28243034	9.4
"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"2003"	"2003"	3107	28436704	10.9
"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"2004"	"2004"	3218	28648227	11.2
