"State"	"State Code"	Deaths	Population	Crude Rate
"Alabama"	"01"	808363	79153531	1021.3
"Alaska"	"02"	58884	11619054	506.8
"Arizona"	"04"	781462	102260320	764.2
"Arkansas"	"05"	491209	48127139	1020.6
"California"	"06"	4044823	618482047	654.0
"Colorado"	"08"	523768	81979602	638.9
"Connecticut"	"09"	500783	59851848	836.7
"Delaware"	"10"	127121	14690493	865.3
"District of Columbia"	"11"	89119	10140487	878.8
"Florida"	"12"	2933810	307658206	953.6
"Georgia"	"13"	1177630	156794347	751.1
"Hawaii"	"15"	161380	22391828	720.7
"Idaho"	"16"	186804	25125742	743.5
"Illinois"	"17"	1765173	215629487	818.6
"Indiana"	"18"	968213	108039336	896.2
"Iowa"	"19"	477734	51106028	934.8
"Kansas"	"20"	422627	47492505	889.9
"Kentucky"	"21"	704828	72069687	978.0
"Louisiana"	"22"	711651	76816288	926.4
"Maine"	"23"	217660	22346589	974.0
"Maryland"	"24"	751698	96095812	782.2
"Massachusetts"	"25"	930115	110561604	841.3
"Michigan"	"26"	1503723	169247101	888.5
"Minnesota"	"27"	659217	88349625	746.1
"Mississippi"	"28"	494415	49696268	994.9
"Missouri"	"29"	948452	99548925	952.7
"Montana"	"30"	148575	16350314	908.7
"Nebraska"	"31"	261779	30449575	859.7
"Nevada"	"32"	321380	42397289	758.0
"New Hampshire"	"33"	175797	22040058	797.6
"New Jersey"	"34"	1218421	147786615	824.4
"New Mexico"	"35"	263248	33510363	785.6
"New York"	"36"	2587220	327923109	789.0
"North Carolina"	"37"	1308548	153789162	850.9
"North Dakota"	"38"	101135	11394034	887.6
"Ohio"	"39"	1867737	195264288	956.5
"Oklahoma"	"40"	617265	62035326	995.0
"Oregon"	"41"	540185	63028957	857.0
"Pennsylvania"	"42"	2180843	213336433	1022.3
"Rhode Island"	"44"	166602	17971898	927.0
"South Carolina"	"45"	684500	75243461	909.7
"South Dakota"	"46"	120846	13541850	892.4
"Tennessee"	"47"	998915	104293627	957.8
"Texas"	"48"	2777261	405679137	684.6
"Utah"	"49"	242597	44050407	550.7
"Vermont"	"50"	89534	10552926	848.4
"Virginia"	"51"	1004724	131420921	764.5
"Washington"	"53"	810919	110031695	737.0
"West Virginia"	"54"	363564	31138841	1167.6
"Wisconsin"	"55"	805817	94983188	848.4
"Wyoming"	"56"	72744	9131503	796.6
