	State	State Code	Year	Year Code	Deaths	Population	Crude Rate	Row	Space
0	Alabama	1	1999	1999	164	4430141	3.7	6	7
1	Alabama	1	2000	2000	190	4447100	4.3	6	7
2	Alabama	1	2001	2001	208	4467634	4.7	6	7
3	Alabama	1	2002	2002	205	4480089	4.6	6	7
4	Alabama	1	2003	2003	187	4503491	4.2	6	7
5	Alabama	1	2004	2004	277	4530729	6.1	6	7
6	Alabama	1	2005	2005	277	4569805	6.1	6	7
7	Alabama	1	2006	2006	390	4628981	8.4	6	7
8	Alabama	1	2007	2007	495	4672840	10.6	6	7
9	Alabama	1	2008	2008	596	4718206	12.6	6	7
10	Alabama	1	2009	2009	623	4757938	13.1	6	7
11	Alabama	1	2010	2010	541	4779736	11.3	6	7
12	Alabama	1	2011	2011	547	4802740	11.4	6	7
13	Alabama	1	2012	2012	561	4822023	11.6	6	7
14	Alabama	1	2013	2013	589	4833722	12.2	6	7
15	Alabama	1	2014	2014	715	4849377	14.7	6	7
16	Alabama	1	2015	2015	735	4858979	15.1	6	7
17	Alaska	2	1999	1999	43	624779	6.9	0	0
18	Alaska	2	2000	2000	44	626932	7.0	0	0
19	Alaska	2	2001	2001	61	633714	9.6	0	0
20	Alaska	2	2002	2002	80	642337	12.5	0	0
21	Alaska	2	2003	2003	79	648414	12.2	0	0
22	Alaska	2	2004	2004	85	659286	12.9	0	0
23	Alaska	2	2005	2005	78	666946	11.7	0	0
24	Alaska	2	2006	2006	75	675302	11.1	0	0
25	Alaska	2	2007	2007	71	680300	10.4	0	0
26	Alaska	2	2008	2008	125	687455	18.2	0	0
27	Alaska	2	2009	2009	128	698895	18.3	0	0
28	Alaska	2	2010	2010	81	710231	11.4	0	0
29	Alaska	2	2011	2011	106	722718	14.7	0	0
30	Alaska	2	2012	2012	129	731449	17.6	0	0
31	Alaska	2	2013	2013	105	735132	14.3	0	0
32	Alaska	2	2014	2014	123	736732	16.7	0	0
33	Alaska	2	2015	2015	122	738432	16.5	0	0
34	Arizona	4	1999	1999	501	5023823	10.0	5	2
35	Arizona	4	2000	2000	510	5130632	9.9	5	2
36	Arizona	4	2001	2001	543	5273477	10.3	5	2
37	Arizona	4	2002	2002	614	5396255	11.4	5	2
38	Arizona	4	2003	2003	661	5510364	12.0	5	2
39	Arizona	4	2004	2004	732	5652404	13.0	5	2
40	Arizona	4	2005	2005	779	5839077	13.3	5	2
41	Arizona	4	2006	2006	864	6029141	14.3	5	2
42	Arizona	4	2007	2007	927	6167681	15.0	5	2
43	Arizona	4	2008	2008	818	6280362	13.0	5	2
44	Arizona	4	2009	2009	992	6343154	15.6	5	2
45	Arizona	4	2010	2010	1088	6392017	17.0	5	2
46	Arizona	4	2011	2011	1064	6482505	16.4	5	2
47	Arizona	4	2012	2012	1126	6553255	17.2	5	2
48	Arizona	4	2013	2013	1212	6626624	18.3	5	2
49	Arizona	4	2014	2014	1207	6731484	17.9	5	2
50	Arizona	4	2015	2015	1261	6828065	18.5	5	2
51	Arkansas	5	1999	1999	109	2651860	4.1	5	5
52	Arkansas	5	2000	2000	139	2673400	5.2	5	5
53	Arkansas	5	2001	2001	123	2691571	4.6	5	5
54	Arkansas	5	2002	2002	169	2705927	6.2	5	5
55	Arkansas	5	2003	2003	179	2724816	6.6	5	5
56	Arkansas	5	2004	2004	224	2749686	8.1	5	5
57	Arkansas	5	2005	2005	265	2781097	9.5	5	5
58	Arkansas	5	2006	2006	282	2821761	10.0	5	5
59	Arkansas	5	2007	2007	295	2848650	10.4	5	5
60	Arkansas	5	2008	2008	355	2874554	12.3	5	5
61	Arkansas	5	2009	2009	349	2896843	12.0	5	5
62	Arkansas	5	2010	2010	348	2915918	11.9	5	5
63	Arkansas	5	2011	2011	351	2937979	11.9	5	5
64	Arkansas	5	2012	2012	363	2949131	12.3	5	5
65	Arkansas	5	2013	2013	310	2959373	10.5	5	5
66	Arkansas	5	2014	2014	352	2966369	11.9	5	5
67	Arkansas	5	2015	2015	387	2978204	13.0	5	5
68	California	6	1999	1999	2618	33499204	7.8	4	1
69	California	6	2000	2000	1901	33871648	5.6	4	1
70	California	6	2001	2001	1195	34479458	3.5	4	1
71	California	6	2002	2002	2920	34871843	8.4	4	1
72	California	6	2003	2003	3051	35253159	8.7	4	1
73	California	6	2004	2004	3068	35574576	8.6	4	1
74	California	6	2005	2005	3151	35827943	8.8	4	1
75	California	6	2006	2006	3442	36021202	9.6	4	1
76	California	6	2007	2007	3796	36250311	10.5	4	1
77	California	6	2008	2008	3808	36604337	10.4	4	1
78	California	6	2009	2009	4006	36961229	10.8	4	1
79	California	6	2010	2010	4004	37253956	10.7	4	1
80	California	6	2011	2011	4136	37691912	11.0	4	1
81	California	6	2012	2012	3995	38041430	10.5	4	1
82	California	6	2013	2013	4402	38332521	11.5	4	1
83	California	6	2014	2014	4473	38802500	11.5	4	1
84	California	6	2015	2015	4623	39144818	11.8	4	1
85	Colorado	8	1999	1999	340	4226018	8.0	4	3
86	Colorado	8	2000	2000	345	4301261	8.0	4	3
87	Colorado	8	2001	2001	399	4425687	9.0	4	3
88	Colorado	8	2002	2002	439	4490406	9.8	4	3
89	Colorado	8	2003	2003	484	4528732	10.7	4	3
90	Colorado	8	2004	2004	501	4575013	11.0	4	3
91	Colorado	8	2005	2005	587	4631888	12.7	4	3
92	Colorado	8	2006	2006	616	4720423	13.0	4	3
93	Colorado	8	2007	2007	717	4803868	14.9	4	3
94	Colorado	8	2008	2008	736	4889730	15.1	4	3
95	Colorado	8	2009	2009	756	4972195	15.2	4	3
96	Colorado	8	2010	2010	646	5029196	12.8	4	3
97	Colorado	8	2011	2011	836	5116796	16.3	4	3
98	Colorado	8	2012	2012	804	5187582	15.5	4	3
99	Colorado	8	2013	2013	837	5268367	15.9	4	3
100	Colorado	8	2014	2014	891	5355866	16.6	4	3
101	Colorado	8	2015	2015	864	5456574	15.8	4	3
102	Connecticut	9	1999	1999	304	3386401	9.0	3	10
103	Connecticut	9	2000	2000	317	3405565	9.3	3	10
104	Connecticut	9	2001	2001	300	3432835	8.7	3	10
105	Connecticut	9	2002	2002	351	3458749	10.1	3	10
106	Connecticut	9	2003	2003	299	3484336	8.6	3	10
107	Connecticut	9	2004	2004	328	3496094	9.4	3	10
108	Connecticut	9	2005	2005	292	3506956	8.3	3	10
109	Connecticut	9	2006	2006	397	3517460	11.3	3	10
110	Connecticut	9	2007	2007	426	3527270	12.1	3	10
111	Connecticut	9	2008	2008	378	3545579	10.7	3	10
112	Connecticut	9	2009	2009	388	3561807	10.9	3	10
113	Connecticut	9	2010	2010	356	3574097	10.0	3	10
114	Connecticut	9	2011	2011	396	3580709	11.1	3	10
115	Connecticut	9	2012	2012	433	3590347	12.1	3	10
116	Connecticut	9	2013	2013	572	3596080	15.9	3	10
117	Connecticut	9	2014	2014	621	3596677	17.3	3	10
118	Connecticut	9	2015	2015	797	3590886	22.2	3	10
119	Delaware	10	1999	1999	49	774990	6.3	5	9
120	Delaware	10	2000	2000	54	783600	6.9	5	9
121	Delaware	10	2001	2001	64	795699	8.0	5	9
122	Delaware	10	2002	2002	83	806169	10.3	5	9
123	Delaware	10	2003	2003	76	818003	9.3	5	9
124	Delaware	10	2004	2004	61	830803	7.3	5	9
125	Delaware	10	2005	2005	62	845150	7.3	5	9
126	Delaware	10	2006	2006	77	859268	9.0	5	9
127	Delaware	10	2007	2007	96	871749	11.0	5	9
128	Delaware	10	2008	2008	123	883874	13.9	5	9
129	Delaware	10	2009	2009	135	891730	15.1	5	9
130	Delaware	10	2010	2010	143	897934	15.9	5	9
131	Delaware	10	2011	2011	157	907135	17.3	5	9
132	Delaware	10	2012	2012	140	917092	15.3	5	9
133	Delaware	10	2013	2013	166	925749	17.9	5	9
134	Delaware	10	2014	2014	189	935614	20.2	5	9
135	Delaware	10	2015	2015	198	945934	20.9	5	9
136	District of Columbia	11	1999	1999	48	570213	8.4	4	10
137	District of Columbia	11	2000	2000	74	572059	12.9	4	10
138	District of Columbia	11	2001	2001	92	574504	16.0	4	10
139	District of Columbia	11	2002	2002	60	573158	10.5	4	10
140	District of Columbia	11	2003	2003	100	568502	17.6	4	10
141	District of Columbia	11	2004	2004	87	567754	15.3	4	10
142	District of Columbia	11	2005	2005	76	567136	13.4	4	10
143	District of Columbia	11	2006	2006	100	570681	17.5	4	10
144	District of Columbia	11	2007	2007	57	574404	9.9	4	10
145	District of Columbia	11	2008	2008	56	580236	9.7	4	10
146	District of Columbia	11	2009	2009	24	592228	4.1	4	10
147	District of Columbia	11	2010	2010	75	601723	12.5	4	10
148	District of Columbia	11	2011	2011	84	617996	13.6	4	10
149	District of Columbia	11	2012	2012	74	632323	11.7	4	10
150	District of Columbia	11	2013	2013	100	646449	15.5	4	10
151	District of Columbia	11	2014	2014	93	658893	14.1	4	10
